Name,Input,Ideal_output_distribution,Ideal_density_matrix,Noisy_output_distribution,Noisy_density_matrix
data/selected_mutant_qc/mutants_ae_2/ae_2_Mutant_Add_s_P0_Q0_[].qasm,PureState_0,"{'10': 156, '00': 71, '11': 292, '01': 505}","DensityMatrix([[ 0.072+0.00000000e+00j, -0.192+2.69422296e-17j,
                 0.096-2.44929360e-17j,  0.144-2.93915232e-17j],
               [-0.192-2.69422296e-17j,  0.512+0.00000000e+00j,
                -0.256+2.93915232e-17j, -0.384+2.44929360e-17j],
               [ 0.096+2.44929360e-17j, -0.256-2.93915232e-17j,
                 0.128+0.00000000e+00j,  0.192+9.79717439e-18j],
               [ 0.144+2.93915232e-17j, -0.384-2.44929360e-17j,
                 0.192-9.79717439e-18j,  0.288+0.00000000e+00j]],
              dims=(2, 2))","{'01': 517, '00': 82, '10': 129, '11': 296}","DensityMatrix([[ 0.07251541-1.73450362e-17j, -0.19092049-4.45488637e-08j,
                 0.0952967 -1.78199384e-05j,  0.14336097-1.08856770e-08j],
               [-0.19092049+4.45488637e-08j,  0.51121746+3.46724836e-18j,
                -0.25500833+3.36202689e-08j, -0.38220878-7.08409126e-05j],
               [ 0.0952967 +1.78199384e-05j, -0.25500833-3.36202689e-08j,
                 0.12847427+1.04117703e-17j,  0.19118558-1.11593410e-08j],
               [ 0.14336097+1.08856770e-08j, -0.38220878+7.08409126e-05j,
                 0.19118558+1.11593410e-08j,  0.28779286+3.46601749e-18j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_ae_2/ae_2_Mutant_Add_s_P0_Q0_[].qasm,PureState_1,"{'01': 89, '11': 130, '10': 286, '00': 519}","DensityMatrix([[ 0.512+0.00000000e+00j, -0.192-2.69422296e-17j,
                -0.384+2.44929360e-17j, -0.256+2.93915232e-17j],
               [-0.192+2.69422296e-17j,  0.072+0.00000000e+00j,
                 0.144-2.93915232e-17j,  0.096-2.44929360e-17j],
               [-0.384-2.44929360e-17j,  0.144+2.93915232e-17j,
                 0.288+0.00000000e+00j,  0.192-9.79717439e-18j],
               [-0.256-2.93915232e-17j,  0.096+2.44929360e-17j,
                 0.192+9.79717439e-18j,  0.128+0.00000000e+00j]],
              dims=(2, 2))","{'01': 77, '11': 131, '10': 309, '00': 507}","DensityMatrix([[ 0.51141624+2.94891998e-17j, -0.19092049+4.45682632e-08j,
                -0.38236349-7.08681394e-05j, -0.25509507+3.36299592e-08j],
               [-0.19092049-4.45682632e-08j,  0.07231664-2.94891998e-17j,
                 0.14344771-1.08953675e-08j,  0.09545142-1.77927116e-05j],
               [-0.38236349+7.08681394e-05j,  0.14344771+1.08953675e-08j,
                 0.28790118-2.60225669e-17j,  0.19118558+1.11642005e-08j],
               [-0.25509507-3.36299592e-08j,  0.09545142+1.77927116e-05j,
                 0.19118558-1.11642005e-08j,  0.12836595+2.60225669e-17j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_ae_2/ae_2_Mutant_Add_s_P0_Q0_[].qasm,Quratest_0,"{'01': 306, '10': 76, '00': 153, '11': 489}","DensityMatrix([[ 0.15642598+0.j        ,  0.21605174-0.02952258j,
                -0.0708514 +0.07380645j,  0.25709026-0.08856774j],
               [ 0.21605174+0.02952258j,  0.30397723+0.j        ,
                -0.11178785+0.08856774j,  0.37180233-0.07380645j],
               [-0.0708514 -0.07380645j, -0.11178785-0.08856774j,
                 0.06691543+0.j        , -0.15823506-0.0811871j ],
               [ 0.25709026+0.08856774j,  0.37180233+0.07380645j,
                -0.15823506+0.0811871j ,  0.47268135+0.j        ]],
              dims=(2, 2))","{'10': 84, '00': 171, '11': 461, '01': 308}","DensityMatrix([[ 0.15678457-3.42638814e-17j,  0.21529131-2.94095716e-02j,
                -0.07021662+7.34878902e-02j,  0.25604791-8.81240302e-02j],
               [ 0.21529131+2.94095716e-02j,  0.30386351+1.77749747e-17j,
                -0.11127416+8.81036077e-02j,  0.3700709 -7.36649740e-02j],
               [-0.07021662-7.34878902e-02j, -0.11127416-8.81036077e-02j,
                 0.067558  +7.36932918e-18j, -0.15740362-8.08705115e-02j],
               [ 0.25604791+8.81240302e-02j,  0.3700709 +7.36649740e-02j,
                -0.15740362+8.08705115e-02j,  0.47179392+1.77785178e-17j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_ae_2/ae_2_Mutant_Add_s_P0_Q0_[].qasm,Quratest_1,"{'01': 35, '10': 36, '11': 201, '00': 752}","DensityMatrix([[ 0.71761207+0.j        , -0.0902532 +0.14517151j,
                -0.17618574+0.03752381j, -0.37419101-0.0309227j ],
               [-0.0902532 -0.14517151j,  0.04071894+0.j        ,
                 0.02974966+0.0309227j ,  0.04080595+0.07958721j],
               [-0.17618574-0.03752381j,  0.02974966-0.0309227j ,
                 0.04521866+0.j        ,  0.0902532 +0.02715842j],
               [-0.37419101+0.0309227j ,  0.04080595-0.07958721j,
                 0.0902532 -0.02715842j,  0.19645033+0.j        ]],
              dims=(2, 2))","{'01': 50, '00': 698, '10': 50, '11': 226}","DensityMatrix([[ 0.71592088+6.44286407e-17j, -0.08962392+1.44488293e-01j,
                -0.17537146+3.71969953e-02j, -0.37253612-3.07451266e-02j],
               [-0.08962392-1.44488293e-01j,  0.04146466-1.53674939e-17j,
                 0.0296541 +3.07657789e-02j,  0.04056082+7.92512879e-02j],
               [-0.17537146-3.71969953e-02j,  0.0296541 -3.07657789e-02j,
                 0.04628132-1.88363253e-17j,  0.08980073+2.70354399e-02j],
               [-0.37253612+3.07451266e-02j,  0.04056082-7.92512879e-02j,
                 0.08980073-2.70354399e-02j,  0.19633314+1.23836839e-17j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_ae_2/ae_2_Mutant_Add_s_P0_Q0_[].qasm,Quratest_2,"{'01': 280, '10': 130, '11': 158, '00': 456}","DensityMatrix([[ 0.44095119+0.j        ,  0.1290619 +0.33231952j,
                 0.1329259 -0.19492007j, -0.19757452+0.15722971j],
               [ 0.1290619 -0.33231952j,  0.28822519+0.j        ,
                -0.10799398-0.15722971j,  0.06066694+0.19492007j],
               [ 0.1329259 +0.19492007j, -0.10799398+0.15722971j,
                 0.12623422+0.j        , -0.1290619 -0.03993943j],
               [-0.19757452-0.15722971j,  0.06066694-0.19492007j,
                -0.1290619 +0.03993943j,  0.14458941+0.j        ]],
              dims=(2, 2))","{'00': 423, '10': 137, '11': 155, '01': 309}","DensityMatrix([[ 0.44034301-8.24104189e-18j,  0.12863388+3.30750529e-01j,
                 0.13239425-1.94212141e-01j, -0.19660474+1.56296130e-01j],
               [ 0.12863388-3.30750529e-01j,  0.28798113+1.60467811e-17j,
                -0.10742849-1.56296107e-01j,  0.06045668+1.94035051e-01j],
               [ 0.13239425+1.94212141e-01j, -0.10742849+1.56296107e-01j,
                 0.12683742-8.23811633e-18j, -0.12845707-3.93906285e-02j],
               [-0.19660474-1.56296130e-01j,  0.06045668-1.94035051e-01j,
                -0.12845707+3.93906285e-02j,  0.14483844-4.77190229e-18j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_ae_2/ae_2_Mutant_Add_s_P0_Q0_[].qasm,Quratest_3,"{'01': 44, '10': 159, '11': 178, '00': 643}","DensityMatrix([[ 0.6485469 +0.j        ,  0.15460666+0.05640806j,
                 0.30595723-0.03655842j, -0.3235034 +0.03532609j],
               [ 0.15460666-0.05640806j,  0.04176273+0.j        ,
                 0.06975723-0.03532609j, -0.07404724+0.03655842j],
               [ 0.30595723+0.03655842j,  0.06975723+0.03532609j,
                 0.14639858+0.j        , -0.15460666-0.00157043j],
               [-0.3235034 -0.03532609j, -0.07404724-0.03655842j,
                -0.15460666+0.00157043j,  0.16329179+0.j        ]],
              dims=(2, 2))","{'01': 54, '11': 154, '10': 155, '00': 661}","DensityMatrix([[ 0.64697362-2.38551599e-17j,  0.1540537 +5.61094043e-02j,
                 0.30450903-3.65489310e-02j, -0.32206535+3.51207372e-02j],
               [ 0.1540537 -5.61094043e-02j,  0.04264373+2.60234525e-17j,
                 0.06963115-3.51207144e-02j, -0.07348351+3.63718409e-02j],
               [ 0.30450903+3.65489310e-02j,  0.06963115+3.51207144e-02j,
                 0.14718166-2.38466914e-17j, -0.15387689-1.52958711e-03j],
               [-0.32206535-3.51207372e-02j, -0.07348351-3.63718409e-02j,
                -0.15387689+1.52958711e-03j,  0.16320098+3.98920020e-17j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_ae_2/ae_2_Mutant_Add_s_P0_Q0_[].qasm,Quratest_4,"{'00': 374, '11': 78, '01': 572}","DensityMatrix([[0.36609535+0.j        , 0.43420994-0.11564079j,
                0.02614773-0.00069332j, 0.16604258-0.04363666j],
               [0.43420994+0.11564079j, 0.55152588+0.j        ,
                0.03123171+0.00743712j, 0.21071974+0.00069332j],
               [0.02614773+0.00069332j, 0.03123171-0.00743712j,
                0.00186887+0.j        , 0.01194195-0.00280222j],
               [0.16604258+0.04363666j, 0.21071974-0.00069332j,
                0.01194195+0.00280222j, 0.08050989+0.j        ]],
              dims=(2, 2))","{'11': 100, '00': 364, '10': 5, '01': 555}","DensityMatrix([[0.36572236-2.08204496e-17j, 0.43268293-1.14854311e-01j,
                0.02629135-7.37981350e-04j, 0.16512648-4.33476592e-02j],
               [0.43268293+1.14854311e-01j, 0.54974503+2.77590452e-17j,
                0.03097139+7.25825698e-03j, 0.20951278+5.54648852e-04j],
               [0.02629135+7.37981350e-04j, 0.03097139-7.25825698e-03j,
                0.00302964-3.46883828e-17j, 0.01267958-2.74699464e-03j],
               [0.16512648+4.33476592e-02j, 0.20951278-5.54648852e-04j,
                0.01267958+2.74699464e-03j, 0.08150297+2.77491908e-17j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_ae_2/ae_2_Mutant_Add_s_P0_Q0_[].qasm,Quratest_5,"{'11': 265, '00': 309, '10': 228, '01': 222}","DensityMatrix([[ 0.30104396+0.j        ,  0.22300622-0.11511014j,
                -0.25527634-0.10500188j, -0.08702223+0.25232935j],
               [ 0.22300622+0.11511014j,  0.20921237+0.j        ,
                -0.1489531 -0.17539288j, -0.16094714+0.15364492j],
               [-0.25527634+0.10500188j, -0.1489531 +0.17539288j,
                 0.25309063+0.j        , -0.01421832-0.2443205j ],
               [-0.08702223-0.25232935j, -0.16094714-0.15364492j,
                -0.01421832+0.2443205j ,  0.23665304+0.j        ]],
              dims=(2, 2))","{'11': 253, '10': 260, '00': 319, '01': 192}","DensityMatrix([[ 0.30097796-1.05359593e-17j,  0.22213318-1.14527879e-01j,
                -0.2536444 -1.04344658e-01j, -0.08670757+2.50366730e-01j],
               [ 0.22213318+1.14527879e-01j,  0.2094763 -7.05968783e-18j,
                -0.14780525-1.73961166e-01j, -0.15990371+1.52572204e-01j],
               [-0.2536444 +1.04344658e-01j, -0.14780525+1.73961166e-01j,
                 0.25295787+4.49789322e-17j, -0.01361801-2.42538794e-01j],
               [-0.08670757-2.50366730e-01j, -0.15990371-1.52572204e-01j,
                -0.01361801+2.42538794e-01j,  0.23658786-3.48176839e-17j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_ae_2/ae_2_Mutant_Add_s_P0_Q0_[].qasm,Quratest_6,"{'01': 133, '00': 456, '10': 311, '11': 124}","DensityMatrix([[ 0.46089369+0.j        , -0.19617628+0.08029076j,
                -0.37143036-0.08083573j, -0.22185733-0.09911283j],
               [-0.19617628-0.08029076j,  0.09748829+0.j        ,
                 0.14401469+0.09911283j,  0.07716595+0.08083573j],
               [-0.37143036+0.08083573j,  0.14401469-0.09911283j,
                 0.31351033+0.j        ,  0.19617628+0.04096284j],
               [-0.22185733+0.09911283j,  0.07716595-0.08083573j,
                 0.19617628-0.04096284j,  0.12810769+0.j        ]],
              dims=(2, 2))","{'01': 108, '11': 115, '10': 346, '00': 455}","DensityMatrix([[ 0.46042191+3.46951762e-18j, -0.1950541 +8.00155391e-02j,
                -0.36958794-8.06282543e-02j, -0.22094771-9.85220046e-02j],
               [-0.1950541 -8.00155391e-02j,  0.09783392-5.37785128e-17j,
                 0.14339262+9.85220273e-02j,  0.07657679+8.04511642e-02j],
               [-0.36958794+8.06282543e-02j,  0.14339262-9.85220273e-02j,
                 0.31327332+3.46828594e-18j,  0.19523091+4.07569360e-02j],
               [-0.22094771+9.85220046e-02j,  0.07657679-8.04511642e-02j,
                 0.19523091-4.07569360e-02j,  0.12847084+2.94925256e-17j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_ae_2/ae_2_Mutant_Add_s_P0_Q0_[].qasm,Quratest_7,"{'01': 444, '10': 26, '00': 56, '11': 498}","DensityMatrix([[ 0.06752456+0.j        , -0.04754814-0.15887431j,
                 0.00205252-0.03297802j, -0.17882808+0.04890682j],
               [-0.04754814+0.15887431j,  0.40728693+0.j        ,
                 0.07614661+0.02805107j,  0.01085391-0.45519165j],
               [ 0.00205252+0.03297802j,  0.07614661-0.02805107j,
                 0.01616838+0.j        , -0.02932115-0.08585045j],
               [-0.17882808-0.04890682j,  0.01085391+0.45519165j,
                -0.02932115+0.08585045j,  0.50902013+0.j        ]],
              dims=(2, 2))","{'01': 458, '00': 75, '10': 12, '11': 479}","DensityMatrix([[ 0.06885415+2.47745224e-17j, -0.04703305-1.58190505e-01j,
                 0.00205769-3.27969003e-02j, -0.17755172+4.83693040e-02j],
               [-0.04703305+1.58190505e-01j,  0.40622248-4.52676519e-17j,
                 0.07572399+2.79408657e-02j,  0.01088008-4.52900538e-01j],
               [ 0.00205769+3.27969003e-02j,  0.07572399-2.79408657e-02j,
                 0.01785071+1.60978835e-17j, -0.02927429-8.56065905e-02j],
               [-0.17755172-4.83693040e-02j,  0.01088008+4.52900538e-01j,
                -0.02927429+8.56065905e-02j,  0.50707266+1.71861468e-17j]],
              dims=(2, 2))"
