Name,Input,Ideal_output_distribution,Ideal_density_matrix,Noisy_output_distribution,Noisy_density_matrix
data/selected_mutant_qc/mutants_qftentangled_2/qftentangled_2_Mutant_Replace_rxx_P1_Q1_[0.7853981633974483].qasm,PureState_0,"{'01': 855, '11': 169}","DensityMatrix([[ 1.00518811e-32+0.00000000e+00j,
                 9.13535971e-17+1.53080850e-17j,
                 2.14106101e-33-1.32561289e-33j,
                -3.78398989e-17-6.34081642e-18j],
               [ 9.13535971e-17-1.53080850e-17j,
                 8.53553391e-01+0.00000000e+00j,
                 1.74396244e-17-1.53080850e-17j,
                -3.53553391e-01-6.49467042e-17j],
               [ 2.14106101e-33+1.32561289e-33j,
                 1.74396244e-17+1.53080850e-17j,
                 6.30866176e-34+0.00000000e+00j,
                -7.22372893e-18-6.34081642e-18j],
               [-3.78398989e-17+6.34081642e-18j,
                -3.53553391e-01+6.49467042e-17j,
                -7.22372893e-18+6.34081642e-18j,
                 1.46446609e-01+0.00000000e+00j]],
              dims=(2, 2))","{'00': 21, '10': 14, '11': 154, '01': 835}","DensityMatrix([[ 1.45428428e-02+1.34325451e-17j,
                 6.13801717e-07-1.72749916e-04j,
                -6.06953019e-04+1.81314772e-04j,
                 7.24901424e-07+8.56677211e-05j],
               [ 6.13801717e-07+1.72749916e-04j,
                 8.13722836e-01+1.39018721e-17j,
                 5.87643509e-07-5.62539708e-05j,
                -3.29338240e-01+2.15118109e-04j],
               [-6.06953019e-04-1.81314772e-04j,
                 5.87643509e-07+5.62539708e-05j,
                 1.42664695e-02-1.34556688e-17j,
                 6.79244828e-07-5.62969193e-05j],
               [ 7.24901424e-07-8.56677211e-05j,
                -3.29338240e-01-2.15118109e-04j,
                 6.79244828e-07+5.62969193e-05j,
                 1.57467849e-01+1.39018721e-17j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qftentangled_2/qftentangled_2_Mutant_Replace_rxx_P1_Q1_[0.7853981633974483].qasm,PureState_1,"{'01': 139, '11': 885}","DensityMatrix([[ 1.00518811e-32+0.00000000e+00j,
                -6.34081642e-18+3.78398989e-17j,
                -2.14106101e-33+1.32561289e-33j,
                -1.53080850e-17+9.13535971e-17j],
               [-6.34081642e-18-3.78398989e-17j,
                 1.46446609e-01+0.00000000e+00j,
                 6.34081642e-18+7.22372893e-18j,
                 3.53553391e-01+6.49467042e-17j],
               [-2.14106101e-33-1.32561289e-33j,
                 6.34081642e-18-7.22372893e-18j,
                 6.30866176e-34+0.00000000e+00j,
                 1.53080850e-17-1.74396244e-17j],
               [-1.53080850e-17-9.13535971e-17j,
                 3.53553391e-01-6.49467042e-17j,
                 1.53080850e-17+1.74396244e-17j,
                 8.53553391e-01+0.00000000e+00j]],
              dims=(2, 2))","{'01': 167, '10': 19, '00': 16, '11': 822}","DensityMatrix([[1.43493274e-02+7.39112752e-22j,
                4.19294638e-05-1.51796165e-05j,
                6.75829750e-04-1.89473076e-04j,
                1.00223658e-04+4.39030803e-05j],
               [4.19294638e-05+1.51796165e-05j,
                1.55978188e-01+3.43592087e-18j,
                4.17858304e-05+4.31655531e-05j,
                3.29545064e-01+2.53437680e-04j],
               [6.75829750e-04+1.89473076e-04j,
                4.17858304e-05-4.31655531e-05j,
                1.44599850e-02+7.39112752e-22j,
                9.98531116e-05-7.34296914e-05j],
               [1.00223658e-04-4.39030803e-05j,
                3.29545064e-01-2.53437680e-04j,
                9.98531116e-05+7.34296914e-05j,
                8.15212497e-01+3.43592087e-18j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qftentangled_2/qftentangled_2_Mutant_Replace_rxx_P1_Q1_[0.7853981633974483].qasm,Quratest_0,"{'10': 335, '00': 689}","DensityMatrix([[ 6.84516129e-01+0.00000000e+00j,
                -1.62082182e-17+1.22176848e-17j,
                -3.66927833e-01+2.85162696e-01j,
                 2.24946379e-17-9.82935005e-17j],
               [-1.62082182e-17-1.22176848e-17j,
                 6.01853108e-34+0.00000000e+00j,
                 1.37780162e-17-2.03020196e-19j,
                -2.28704181e-33+1.92592994e-33j],
               [-3.66927833e-01-2.85162696e-01j,
                 1.37780162e-17+2.03020196e-19j,
                 3.15483871e-01+0.00000000e+00j,
                -5.30061263e-17+4.33181752e-17j],
               [ 2.24946379e-17+9.82935005e-17j,
                -2.28704181e-33-1.92592994e-33j,
                -5.30061263e-17-4.33181752e-17j,
                 1.48537347e-32+0.00000000e+00j]],
              dims=(2, 2))","{'01': 26, '11': 33, '00': 642, '10': 323}","DensityMatrix([[ 6.55294844e-01+1.73370157e-18j,
                -7.56102489e-05-1.35914555e-04j,
                -3.37452754e-01+2.63048713e-01j,
                 8.39947171e-05+1.42717115e-04j],
               [-7.56102489e-05+1.35914555e-04j,
                 1.85387343e-02-8.06121174e-19j,
                -1.37492709e-05-7.45692701e-05j,
                -2.07186463e-03+5.73022943e-04j],
               [-3.37452754e-01-2.63048713e-01j,
                -1.37492709e-05+7.45692701e-05j,
                 3.08809160e-01+1.73370157e-18j,
                -9.35447832e-06-8.22286582e-05j],
               [ 8.39947171e-05-1.42717115e-04j,
                -2.07186463e-03-5.73022943e-04j,
                -9.35447832e-06+8.22286582e-05j,
                 1.73572592e-02+9.28602302e-19j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qftentangled_2/qftentangled_2_Mutant_Replace_rxx_P1_Q1_[0.7853981633974483].qasm,Quratest_1,"{'10': 103, '00': 53, '11': 705, '01': 163}","DensityMatrix([[ 0.05910221+0.j        , -0.08228603+0.0338359j ,
                 0.05536698-0.05536698j, -0.14589406+0.14239803j],
               [-0.08228603-0.0338359j ,  0.13393507+0.j        ,
                -0.10878308+0.04538812j,  0.284646  -0.11473197j],
               [ 0.05536698+0.05536698j, -0.10878308-0.04538812j,
                 0.10373564+0.j        , -0.27007218-0.00327508j],
               [-0.14589406-0.14239803j,  0.284646  +0.11473197j,
                -0.27007218+0.00327508j,  0.70322707+0.j        ]],
              dims=(2, 2))","{'01': 149, '00': 83, '10': 119, '11': 673}","DensityMatrix([[ 0.07018863+1.11847192e-17j, -0.07653225+3.12708292e-02j,
                 0.05208897-5.13970938e-02j, -0.13588714+1.31718107e-01j],
               [-0.07653225-3.12708292e-02j,  0.14398598+2.68035881e-17j,
                -0.10036595+4.20124502e-02j,  0.26542417-1.06725154e-01j],
               [ 0.05208897+5.13970938e-02j, -0.10036595-4.20124502e-02j,
                 0.11107718-3.04486442e-17j, -0.24940204-2.95816438e-03j],
               [-0.13588714-1.31718107e-01j,  0.26542417+1.06725154e-01j,
                -0.24940204+2.95816438e-03j,  0.67474821+1.37825891e-16j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qftentangled_2/qftentangled_2_Mutant_Replace_rxx_P1_Q1_[0.7853981633974483].qasm,Quratest_2,"{'01': 139, '00': 8, '11': 166, '10': 711}","DensityMatrix([[ 0.00892544+0.j        , -0.02558787-0.02148372j,
                 0.0556468 -0.0556468j , -0.02969202+0.02558787j],
               [-0.02558787+0.02148372j,  0.12506825+0.j        ,
                -0.02558787+0.29347383j,  0.02353196-0.14482582j],
               [ 0.0556468 +0.0556468j , -0.02558787-0.29347383j,
                 0.69387413+0.j        , -0.34464957-0.02558787j],
               [-0.02969202-0.02558787j,  0.02353196+0.14482582j,
                -0.34464957+0.02558787j,  0.17213217+0.j        ]],
              dims=(2, 2))","{'01': 138, '00': 45, '11': 198, '10': 643}","DensityMatrix([[ 0.0279354 +6.65648059e-18j, -0.02437235-2.00108113e-02j,
                 0.05280125-5.15157572e-02j, -0.02839119+2.28926009e-02j],
               [-0.02437235+2.00108113e-02j,  0.13463681+1.10134458e-17j,
                -0.02351628+2.70859035e-01j,  0.0222553 -1.35679792e-01j],
               [ 0.05280125+5.15157572e-02j, -0.02351628-2.70859035e-01j,
                 0.65825369-2.82413314e-19j, -0.31823897-2.35463306e-02j],
               [-0.02839119-2.28926009e-02j,  0.0222553 +1.35679792e-01j,
                -0.31823897+2.35463306e-02j,  0.17917409-2.86434200e-18j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qftentangled_2/qftentangled_2_Mutant_Replace_rxx_P1_Q1_[0.7853981633974483].qasm,Quratest_3,"{'01': 25, '00': 323, '10': 483, '11': 193}","DensityMatrix([[ 0.31962833+0.j        , -0.1014416 +0.01780422j,
                 0.27190563-0.27190563j, -0.22068742+0.1014416j ],
               [-0.1014416 -0.01780422j,  0.03318663+0.j        ,
                -0.1014416 +0.07114974j,  0.07569095-0.01990196j],
               [ 0.27190563+0.27190563j, -0.1014416 -0.07114974j,
                 0.4626165 +0.j        , -0.27403294-0.1014416j ],
               [-0.22068742-0.1014416j ,  0.07569095+0.01990196j,
                -0.27403294+0.1014416j ,  0.18456854+0.j        ]],
              dims=(2, 2))","{'01': 61, '11': 193, '00': 296, '10': 474}","DensityMatrix([[ 0.3161039 -2.78558418e-18j, -0.09422032+1.62876137e-02j,
                 0.25300587-2.51075520e-01j, -0.20512953+9.34717849e-02j],
               [-0.09422032-1.62876137e-02j,  0.04867226+2.49880834e-17j,
                -0.09353683+6.58080916e-02j,  0.07209103-1.87678255e-02j],
               [ 0.25300587+2.51075520e-01j, -0.09353683-6.58080916e-02j,
                 0.44437519-2.78558418e-18j, -0.25315973-9.35988449e-02j],
               [-0.20512953-9.34717849e-02j,  0.07209103+1.87678255e-02j,
                -0.25315973+9.35988449e-02j,  0.19084864-3.05230678e-17j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qftentangled_2/qftentangled_2_Mutant_Replace_rxx_P1_Q1_[0.7853981633974483].qasm,Quratest_4,"{'01': 57, '11': 12, '00': 529, '10': 426}","DensityMatrix([[ 0.51107954+0.j        , -0.0151665 +0.16213602j,
                -0.42848586-0.18148727j, -0.08255873-0.0023288j ],
               [-0.0151665 -0.16213602j,  0.05188647+0.j        ,
                -0.04485993+0.14131953j,  0.00171117+0.02626023j],
               [-0.42848586+0.18148727j, -0.04485993-0.14131953j,
                 0.42368702+0.j        ,  0.07004369-0.02736463j],
               [-0.08255873+0.0023288j ,  0.00171117-0.02626023j,
                 0.07004369+0.02736463j,  0.01334698+0.j        ]],
              dims=(2, 2))","{'01': 72, '11': 32, '00': 490, '10': 430}","DensityMatrix([[ 4.94004985e-01-5.89729906e-17j,
                -1.37303332e-02+1.49554251e-01j,
                -3.94253996e-01-1.67498024e-01j,
                -7.66568375e-02-2.43015588e-03j],
               [-1.37303332e-02-1.49554251e-01j,
                 6.66637248e-02-5.19360864e-21j,
                -4.10716099e-02+1.29820033e-01j,
                -4.42934120e-04+2.44826484e-02j],
               [-3.94253996e-01+1.67498024e-01j,
                -4.10716099e-02-1.29820033e-01j,
                 4.08514927e-01-3.46183938e-18j,
                 6.41987853e-02-2.52533926e-02j],
               [-7.66568375e-02+2.43015588e-03j,
                -4.42934120e-04-2.44826484e-02j,
                 6.41987853e-02+2.52533926e-02j,
                 3.08163609e-02-3.31201023e-18j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qftentangled_2/qftentangled_2_Mutant_Replace_rxx_P1_Q1_[0.7853981633974483].qasm,Quratest_5,"{'00': 6, '10': 401, '11': 187, '01': 430}","DensityMatrix([[ 0.01108435+0.j        ,  0.0683814 -0.0151248j ,
                -0.02327453+0.06028791j,  0.03681553+0.02291261j],
               [ 0.0683814 +0.0151248j ,  0.44249574+0.j        ,
                -0.22584895+0.34016885j,  0.19585722+0.19158769j],
               [-0.02327453-0.06028791j, -0.22584895-0.34016885j,
                 0.37677784+0.j        ,  0.04731801-0.24835132j],
               [ 0.03681553-0.02291261j,  0.19585722-0.19158769j,
                 0.04731801+0.24835132j,  0.16964207+0.j        ]],
              dims=(2, 2))","{'01': 386, '00': 25, '11': 222, '10': 391}","DensityMatrix([[ 0.02845991-3.89774499e-17j,  0.06336688-1.47644354e-02j,
                -0.02062514+5.53061389e-02j,  0.03308818+1.99467590e-02j],
               [ 0.06336688+1.47644354e-02j,  0.43036764+5.21374497e-17j,
                -0.20762752+3.13466654e-01j,  0.18220801+1.77703133e-01j],
               [-0.02062514-5.53061389e-02j, -0.20762752-3.13466654e-01j,
                 0.3633444 -1.12218743e-17j,  0.04350507-2.28595041e-01j],
               [ 0.03308818-1.99467590e-02j,  0.18220801-1.77703133e-01j,
                 0.04350507+2.28595041e-01j,  0.17782805-3.37370153e-18j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qftentangled_2/qftentangled_2_Mutant_Replace_rxx_P1_Q1_[0.7853981633974483].qasm,Quratest_6,"{'01': 193, '00': 1, '10': 2, '11': 828}","DensityMatrix([[5.75568269e-04+0.j        , 1.00414094e-02+0.00079109j,
                6.24791343e-04-0.00062479j, 1.92917243e-02-0.01004141j],
               [1.00414094e-02-0.00079109j, 1.76270547e-01+0.j        ,
                1.00414094e-02-0.01175891j, 3.22763445e-01-0.20169889j],
               [6.24791343e-04+0.00062479j, 1.00414094e-02+0.01175891j,
                1.35644803e-03+0.j        , 3.18417275e-02+0.01004141j],
               [1.92917243e-02+0.01004141j, 3.22763445e-01+0.20169889j,
                3.18417275e-02-0.01004141j, 8.21797437e-01+0.j        ]],
              dims=(2, 2))","{'01': 205, '00': 14, '10': 24, '11': 781}","DensityMatrix([[0.01467459-1.75438459e-20j, 0.00937757+7.25161137e-04j,
                0.00126099-9.06853045e-04j, 0.01799449-9.24496502e-03j],
               [0.00937757-7.25161137e-04j, 0.18377361-4.46037942e-18j,
                0.00935726-1.08256887e-02j, 0.30060175-1.87563489e-01j],
               [0.00126099+9.06853045e-04j, 0.00935726+1.08256887e-02j,
                0.01612666+3.01822224e-18j, 0.02955647+9.11158799e-03j],
               [0.01799449+9.24496502e-03j, 0.30060175+1.87563489e-01j,
                0.02955647-9.11158799e-03j, 0.78542514-4.46037942e-18j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qftentangled_2/qftentangled_2_Mutant_Replace_rxx_P1_Q1_[0.7853981633974483].qasm,Quratest_7,"{'10': 15, '11': 277, '00': 453, '01': 279}","DensityMatrix([[ 0.45940217+0.j        , -0.34650811+0.04984108j,
                 0.02606363+0.07958195j, -0.039749  -0.34235541j],
               [-0.34650811-0.04984108j,  0.26676409+0.j        ,
                -0.01102479-0.06285306j, -0.00716151+0.26253698j],
               [ 0.02606363-0.07958195j, -0.01102479+0.06285306j,
                 0.01526462+0.j        , -0.06156113-0.01253743j],
               [-0.039749  +0.34235541j, -0.00716151-0.26253698j,
                -0.06156113+0.01253743j,  0.25856911+0.j        ]],
              dims=(2, 2))","{'01': 269, '00': 434, '11': 288, '10': 33}","DensityMatrix([[ 0.44354684+6.93442813e-17j, -0.32047234+4.61722059e-02j,
                 0.0249574 +7.32433981e-02j, -0.03667307-3.16424011e-01j],
               [-0.32047234-4.61722059e-02j,  0.26687192+1.23186965e-17j,
                -0.01055054-5.79596825e-02j, -0.00642837+2.44882625e-01j],
               [ 0.0249574 -7.32433981e-02j, -0.01055054+5.79596825e-02j,
                 0.02954766-4.86169151e-17j, -0.0567815 -1.21540920e-02j],
               [-0.03667307+3.16424011e-01j, -0.00642837-2.44882625e-01j,
                -0.0567815 +1.21540920e-02j,  0.26003358-2.93146670e-17j]],
              dims=(2, 2))"
