Metric,Threshold,kyiv,brisbane,sherbrooke
Metric C,0.1,0.9831921686588037,0.9826821541710665,0.982465452872587
Metric C,0.5,0.9831921686588037,0.9826821541710665,0.982465452872587
Metric C,0.8,0.9831921686588037,0.9826821541710665,0.982465452872587
Metric C,A,0.9831921686588037,0.9826821541710665,0.982465452872587
Metric C,I,0.9831921686588037,0.9826821541710665,0.982465452872587
Metric C,N,0.9832134925346878,0.9827164405019625,0.9824826817421769
Metric H,0.1,0.0,0.00027684055714162123,0.0
Metric H,0.5,0.0,0.00027842308127343755,0.0
Metric H,0.8,0.0,0.00014885244071486384,0.0
Metric H,A,0.0,0.0,0.0
Metric H,I,0.0,0.0002769579629741823,0.0
Metric H,N,0.0,0.00015873015873015873,0.0
Metric J,0.1,0.0,0.0002768740915068872,0.0
Metric J,0.5,0.0,0.0002792662279859669,0.0
Metric J,0.8,0.0,0.0001445974767740303,0.0
Metric J,A,0.0,0.0,0.0
Metric J,I,0.0,0.000276922011838416,0.0
Metric J,N,0.0,0.00015504276596294477,0.0
Metric T,0.1,0.0,0.00027704188527002927,0.0
Metric T,0.5,0.0,0.0002779877164177808,0.0
Metric T,0.8,0.0,0.00017739303200170296,0.0
Metric T,A,0.0,0.0,0.0
Metric T,I,0.0,0.00027675915034940844,0.0
Metric T,N,0.0,0.0,0.0
Metric F,0.1,0.0,0.00027704188527002927,0.0
Metric F,0.5,0.0,0.0002775272323596753,0.0
Metric F,0.8,0.0,0.0001931332355962111,0.0
Metric F,A,0.0,9.642829591915452e-05,0.0
Metric F,I,0.0,0.00027675915034940844,0.0
Metric F,N,0.0,9.642829591915452e-05,0.0
Metric E,0.1,0.0,0.0002800311534658231,0.0
Metric E,0.5,0.0,0.0003055845577936795,0.0
Metric E,0.8,0.0,0.00031107101751329827,0.0
Metric E,A,0.0,0.00022055580061755624,0.0
Metric E,I,0.0,0.00027675915034940844,0.0
Metric E,N,0.0,0.00022055580061755624,0.0
