Qubit,T1,T2,Frequency (GHz),Anharmonicity (GHz),assigment_error,prob01,prob10,Readout length (ns),ID error ,rz,sx,x,ecr_1,ecr_2,ecr_3,time,Operational
0,419.6181112,367.8088898,4.655643585,-0.311063246,0.0016,0.0028,0.0004,1244.444444,0.000127078,0,0.000127078,0.000127078,0.004335285,0.008086016,,561.77,TRUE
1,347.552318,210.947478,4.534964384,-0.313029805,0.0033,0.0048,0.0018,1244.444444,0.000115174,0,0.000115174,0.000115174,0.008962885,,,561.77,TRUE
2,175.8485815,104.8713973,4.680130647,-0.309256368,0.0163,0.0292,0.0034,1244.444444,0.000432844,0,0.000432844,0.000432844,0.008400054,,,561.77,TRUE
3,383.8325612,179.3071465,4.606655387,-0.251358354,0.0067,0.01,0.0034,1244.444444,0.000414751,0,0.000414751,0.000414751,,,,561.77,TRUE
4,246.1830304,136.3945663,4.462285582,-0.255078506,0.0165,0.0198,0.0132,1244.444444,0.000484863,0,0.000484863,0.000484863,0.012686992,0.011454055,,561.77,TRUE
5,351.4696425,211.4749745,4.426690683,-0.280443214,0.0102,0.0116,0.0088,1244.444444,0.000175095,0,0.000175095,0.000175095,0.008058689,,,561.77,TRUE
6,420.0066167,155.3443401,4.64008402,-0.31081034,0.0013,0.002,0.0006,1244.444444,0.000122736,0,0.000122736,0.000122736,0.0045482,,,561.77,TRUE
7,434.7037304,537.8406679,4.475694757,-0.281327122,0.017,0.0102,0.0238,1244.444444,0.000139032,0,0.000139032,0.000139032,0.005819106,0.012536553,,561.77,TRUE
8,393.3535921,337.0867464,4.401820063,-0.255074279,0.0119,0.0126,0.0112,1244.444444,0.000303897,0,0.000303897,0.000303897,0.024948038,,,561.77,TRUE
9,453.9404529,392.9278559,4.519004912,-0.297306549,0.0087,0.01,0.0074,1244.444444,0.000117708,0,0.000117708,0.000117708,,,,561.77,TRUE
10,130.32392,67.78819853,4.62836519,0,0.0078,0.0106,0.005,1244.444444,0.000717638,0,0.000717638,0.000717638,0.035705568,0.02837678,,561.77,TRUE
11,230.5931818,195.9131357,4.571524958,-0.311878011,0.022,0.0284,0.0156,1244.444444,0.000731647,0,0.000731647,0.000731647,0.00965008,,,561.77,TRUE
12,371.0665684,284.6700756,4.464329374,-0.3114336,0.0153,0.02,0.0106,1244.444444,0.000213598,0,0.000213598,0.000213598,,,,561.77,TRUE
13,236.0114871,103.4425758,4.573371757,0,0.0133,0.0156,0.011,1244.444444,0.000174533,0,0.000174533,0.000174533,0.008976235,,,561.77,TRUE
14,360.7350058,350.3182913,4.603979715,-0.307514912,0.0062,0.0068,0.0056,1244.444444,0.000124004,0,0.000124004,0.000124004,0.005126941,,,561.77,TRUE
15,192.2473744,61.18927932,4.495954412,-0.323583897,0.0128,0.0094,0.0162,1244.444444,0.000546495,0,0.000546495,0.000546495,,,,561.77,TRUE
16,284.8599432,125.8149821,4.513228205,-0.312509975,0.0058,0.0106,0.001,1244.444444,0.000203973,0,0.000203973,0.000203973,0.010738596,,,561.77,TRUE
17,324.7479048,57.89222795,4.675775175,-0.322237146,0.0594,0.0654,0.0534,1244.444444,0.001023712,0,0.001023712,0.001023712,0.014910617,0.013305973,,561.77,TRUE
18,181.734064,46.10385836,4.514793613,-0.321479072,0.0053,0.0068,0.0038,1244.444444,0.000194797,0,0.000194797,0.000194797,,,,561.77,TRUE
19,305.942639,197.2580476,4.444139287,-0.314251968,0.0274,0.0278,0.027,1244.444444,0.000163275,0,0.000163275,0.000163275,0.008531785,,,561.77,TRUE
20,397.2424382,278.3679835,4.341289948,-0.316596806,0.0213,0.025,0.0176,1244.444444,0.000157189,0,0.000157189,0.000157189,0.006178251,,,561.77,TRUE
21,424.9537098,213.3843612,4.485181924,-0.313751064,0.0144,0.0142,0.0146,1244.444444,0.000165357,0,0.000165357,0.000165357,0.007763273,0.013910142,,561.77,TRUE
22,368.4887965,180.3367835,4.382952835,-0.323569947,0.007,0.0072,0.0068,1244.444444,0.000203842,0,0.000203842,0.000203842,0.006020432,0.013915479,,561.77,TRUE
23,375.4362396,201.2308012,4.531757967,-0.349105571,0.01,0.0128,0.0072,1244.444444,0.000161517,0,0.000161517,0.000161517,0.014578946,,,561.77,TRUE
24,194.3454746,41.45559916,4.646152708,-0.309893759,0.0025,0.004,0.001,1244.444444,0.000277158,0,0.000277158,0.000277158,0.011852742,,,561.77,TRUE
25,189.4593157,213.3641006,4.702188669,-0.310468782,0.0087,0.0092,0.0082,1244.444444,0.000181499,0,0.000181499,0.000181499,,,,561.77,TRUE
26,186.7571599,107.975567,4.648807061,0,0.0081,0.0114,0.0048,1244.444444,0.000410203,0,0.000410203,0.000410203,0.00766171,0.017364184,0.011298683,561.77,TRUE
27,355.4128231,79.35143234,4.610067357,-0.287894796,0.0649,0.0634,0.0664,1244.444444,0.000580673,0,0.000580673,0.000580673,,,,561.77,TRUE
28,137.2616031,9.648308692,4.516882153,-0.315125006,0.0202,0.038,0.0024,1244.444444,0.003033454,0,0.003033454,0.003033454,0.028357732,,,561.77,TRUE
29,317.8280045,245.8883989,4.46001583,-0.316447071,0.0138,0.0124,0.0152,1244.444444,0.000143375,0,0.000143375,0.000143375,0.015592455,0.05436812,,561.77,TRUE
30,231.4676315,113.0029285,4.646576805,-0.283561427,0.0686,0.0736,0.0636,1244.444444,0.001042484,0,0.001042484,0.001042484,,,,561.77,TRUE
31,350.0914155,176.5532217,4.613005256,-0.311267588,0.0122,0.0146,0.0098,1244.444444,0.000402342,0,0.000402342,0.000402342,0.01443409,0.007394564,,561.77,TRUE
32,311.6091789,86.85072498,4.499277896,-0.312817115,0.0333,0.0254,0.0412,1244.444444,0.000145884,0,0.000145884,0.000145884,,,,561.77,TRUE
33,429.7915939,220.5999749,4.596926567,0,0.0055,0.01,0.001,1244.444444,0.000239766,0,0.000239766,0.000239766,0.006610549,0.012153452,,561.77,TRUE
34,220.3342678,104.6890131,4.561970546,0,0.027,0.0434,0.0106,1244.444444,0.000773794,0,0.000773794,0.000773794,0.030825522,,,561.77,TRUE
35,207.1389768,107.0580871,4.721877582,-0.307958102,0.0114,0.0204,0.0024,1244.444444,0.000827507,0,0.000827507,0.000827507,0.018231983,0.047632456,,561.77,TRUE
36,289.4770117,152.9195815,4.608015432,-0.311646243,0.0049,0.0054,0.0044,1244.444444,0.000207432,0,0.000207432,0.000207432,0.007459985,0.017303557,,561.77,TRUE
37,402.7067288,211.0189542,4.497759985,0,0.041015625,0.0234375,0.05859375,1244.444444,0.001767862,0,0.001767862,0.001767862,0.075663618,0.015851824,,561.77,TRUE
38,253.743494,170.2227002,4.475501868,-0.335395867,0.071289063,0.033203125,0.109375,1244.444444,0.001307011,0,0.001307011,0.001307011,,,,561.77,TRUE
39,307.6170596,62.22851942,4.50442538,-0.31295465,0.0073,0.008,0.0066,1244.444444,0.001143102,0,0.001143102,0.001143102,0.022138717,,,561.77,TRUE
40,440.9657216,32.68286411,4.46434462,-0.338092847,0.0177,0.0262,0.0092,1244.444444,0.000351317,0,0.000351317,0.000351317,0.014953472,0.015815437,,561.77,TRUE
41,269.5410127,422.3144263,4.575891369,-0.345222478,0.0021,0.004,0.0002,1244.444444,0.000143254,0,0.000143254,0.000143254,,,,561.77,TRUE
42,147.7075753,88.63206195,4.641376477,-0.33193207,0.0195,0.0362,0.0028,1244.444444,0.000184657,0,0.000184657,0.000184657,0.009749808,0.009522757,,561.77,TRUE
43,373.9298973,205.4060763,4.523118604,-0.321807603,0.0051,0.0068,0.0034,1244.444444,0.000267567,0,0.000267567,0.000267567,0.012091342,,,561.77,TRUE
44,442.822232,257.583548,4.594573912,-0.272554783,0.0551,0.0624,0.0478,1244.444444,0.000438092,0,0.000438092,0.000438092,0.018867699,,,561.77,TRUE
45,298.2504765,108.4972702,4.630446877,-0.311214777,0.0041,0.0068,0.0014,1244.444444,0.000646605,0,0.000646605,0.000646605,0.01002184,0.02317263,,561.77,TRUE
46,187.0998096,55.1656319,4.710108864,-0.310510993,0.0053,0.0082,0.0024,1244.444444,0.00138033,0,0.00138033,0.00138033,0.020123709,,,561.77,TRUE
47,358.8692234,121.2933805,4.680683569,-0.279169823,0.0553,0.03,0.0806,1244.444444,0.00139674,0,0.00139674,0.00139674,,,,561.77,TRUE
48,229.3709233,79.72834073,4.625117334,-0.311218147,0.0029,0.0052,0.0006,1244.444444,0.000224337,0,0.000224337,0.000224337,0.007525735,0.015521324,,561.77,TRUE
49,208.3283081,40.59063598,4.581949588,-0.352027252,0.0123,0.0154,0.0092,1244.444444,0.000214073,0,0.000214073,0.000214073,,,,561.77,TRUE
50,133.4251315,37.61169559,4.457771449,-0.313751083,0.0405,0.0634,0.0176,1244.444444,0.001994371,0,0.001994371,0.001994371,0.0259735,0.01840847,,561.77,TRUE
51,252.6388768,67.53464934,4.565384769,-0.296808716,0.06,0.0678,0.0522,1244.444444,0.000838369,0,0.000838369,0.000838369,,,,561.77,TRUE
52,296.8647131,30.05321848,4.444498857,-0.285496235,0.1137,0.119,0.1084,1244.444444,0.000660626,0,0.000660626,0.000660626,,,,561.77,TRUE
53,253.9583256,374.805935,4.622000467,-0.308915778,0.0039,0.0034,0.0044,1244.444444,0.000198914,0,0.000198914,0.000198914,0.004302035,0.005365914,,561.77,TRUE
54,367.7749601,19.35660337,4.501511794,-0.312997193,0.118164063,0.171875,0.064453125,1244.444444,0.048978841,0,0.048978841,0.048978841,0.065453368,0.095442071,,561.77,TRUE
55,225.790529,40.50237733,4.686312144,-0.31006687,0.0044,0.0058,0.003,1244.444444,0.000219851,0,0.000219851,0.000219851,0.011038343,,,561.77,TRUE
56,187.9194844,120.1152855,4.553719749,0,0.0109,0.0196,0.0022,1244.444444,0.000695767,0,0.000695767,0.000695767,0.009194178,,,561.77,TRUE
57,206.1600532,39.62749062,4.639600708,-0.311025836,0.0034,0.0054,0.0014,1244.444444,0.000542946,0,0.000542946,0.000542946,0.018063586,0.018837815,,561.77,TRUE
58,243.2043795,39.24282127,4.60946767,-0.312023227,0.005,0.0078,0.0022,1244.444444,0.000434224,0,0.000434224,0.000434224,0.012202323,0.01912928,,561.77,TRUE
59,298.3250055,98.14197235,4.769988482,-0.305563279,0.0019,0.0034,0.0004,1244.444444,0.000128073,0,0.000128073,0.000128073,0.012854592,,,561.77,TRUE
60,361.5131117,479.5928305,4.517597037,-0.313025257,0.0099,0.0074,0.0124,1244.444444,0.000124432,0,0.000124432,0.000124432,0.008917444,,,561.77,TRUE
61,275.6722022,123.6485526,4.689239015,0,0.0067,0.0094,0.004,1244.444444,0.000231475,0,0.000231475,0.000231475,0.015432906,,,561.77,TRUE
62,178.4481435,25.64187467,4.647077121,-0.286304946,0.0246,0.0296,0.0196,1244.444444,0.001232437,0,0.001232437,0.001232437,,,,561.77,TRUE
63,134.2003706,163.3554764,4.507461292,-0.32264291,0.0038,0.005,0.0026,1244.444444,0.000317681,0,0.000317681,0.000317681,0.016223771,0.00551917,,561.77,TRUE
64,329.4161079,41.21077935,4.463135343,0,0.020507813,0.01953125,0.021484375,1244.444444,0.000240557,0,0.000240557,0.000240557,0.019695143,,,561.77,TRUE
65,240.8295729,280.560811,4.615239143,-0.311012516,0.0028,0.0042,0.0014,1244.444444,0.00020296,0,0.00020296,0.00020296,,,,561.77,TRUE
66,264.1979805,96.08068686,4.650579285,-0.290340767,0.0142,0.0168,0.0116,1244.444444,0.002564654,0,0.002564654,0.002564654,0.021280515,0.015604596,,561.77,TRUE
67,200.8177768,78.82163569,4.714534999,-0.310114089,0.0072,0.0088,0.0056,1244.444444,0.000226914,0,0.000226914,0.000226914,0.016100793,,,561.77,TRUE
68,319.2513034,103.3665083,4.612762613,-0.31130678,0.0101,0.009,0.0112,1244.444444,0.000212145,0,0.000212145,0.000212145,0.009996678,0.008848722,,561.77,TRUE
69,186.5808174,93.97665695,4.551438807,-0.312131464,0.0181,0.0326,0.0036,1244.444444,0.00035221,0,0.00035221,0.00035221,0.063868823,,,561.77,TRUE
70,345.4005107,83.13496338,4.711920714,-0.309372417,0.0028,0.0032,0.0024,1244.444444,0.000185959,0,0.000185959,0.000185959,0.006584187,,,561.77,TRUE
71,251.3694646,46.49224623,4.546047013,-0.308948059,0.0154,0.018,0.0128,1244.444444,0.000498134,0,0.000498134,0.000498134,,,,561.77,TRUE
72,267.2130386,275.3731643,4.576607203,-0.311919015,0.002,0.004,0,1244.444444,0.000192496,0,0.000192496,0.000192496,0.014455963,0.006112065,,561.77,TRUE
73,214.1118633,113.9287726,4.822094987,-0.306024322,0.0097,0.0126,0.0068,1244.444444,0.000233784,0,0.000233784,0.000233784,0.022832185,0.01221897,,561.77,TRUE
74,314.2168516,315.5793875,4.609668953,-0.311091916,0.0588,0.0702,0.0474,1244.444444,0.000109589,0,0.000109589,0.000109589,,,,561.77,TRUE
75,155.4091253,89.55607745,4.787383831,-0.278248358,0.0401,0.0682,0.012,1244.444444,0.000426394,0,0.000426394,0.000426394,0.006844453,0.006183893,,561.77,TRUE
76,264.8642307,216.5679547,4.683348292,-0.310556972,0.0035,0.006,0.001,1244.444444,0.000146801,0,0.000146801,0.000146801,0.00857322,,,561.77,TRUE
77,376.0756007,282.9670595,4.576649896,-0.313094932,0.0447,0.0464,0.043,1244.444444,0.000617036,0,0.000617036,0.000617036,0.015012538,0.012706795,,561.77,TRUE
78,421.3538136,394.6487865,4.483444449,-0.313687475,0.0039,0.004,0.0038,1244.444444,0.000145723,0,0.000145723,0.000145723,,,,561.77,TRUE
79,219.6425045,78.31069135,4.57071622,-0.295254094,0.0257,0.025,0.0264,1244.444444,0.000693189,0,0.000693189,0.000693189,0.010228688,,,561.77,TRUE
80,20.38136961,22.52556694,4.600623239,0,0.1851,0.2364,0.1338,1244.444444,0.011834308,0,0.011834308,0.011834308,0.080728944,0.102226598,,561.77,TRUE
81,282.8611992,91.7914832,4.498661768,-0.314686383,0.0052,0.0072,0.0032,1244.444444,0.000219098,0,0.000219098,0.000219098,,,,561.77,TRUE
82,311.3908752,121.2166784,4.602408716,-0.317242665,0.016,0.0304,0.0016,1244.444444,0.000731231,0,0.000731231,0.000731231,0.025232484,0.014696945,,561.77,TRUE
83,238.8728292,64.30379921,4.636308859,-0.310358055,0.0545,0.0922,0.0168,1244.444444,0.002086082,0,0.002086082,0.002086082,,,,561.77,TRUE
84,261.0759567,267.3587281,4.749615663,-0.309022567,0.0036,0.004,0.0032,1244.444444,0.000119418,0,0.000119418,0.000119418,0.071791445,,,561.77,TRUE
85,330.2548771,229.5629691,4.586920324,-0.311547567,0.0019,0.0028,0.001,1244.444444,0.000138269,0,0.000138269,0.000138269,0.028230769,0.016445599,,561.77,TRUE
86,247.7517797,134.6139377,4.756406848,-0.325806891,0.0438,0.0484,0.0392,1244.444444,0.000421062,0,0.000421062,0.000421062,,,,561.77,TRUE
87,221.7403662,56.33896913,4.725079395,0,0.0177,0.0216,0.0138,1244.444444,0.000614084,0,0.000614084,0.000614084,0.017317464,0.011820693,,561.77,TRUE
88,278.0303258,40.49667563,4.566474963,-0.307659513,0.0049,0.0056,0.0042,1244.444444,0.000157474,0,0.000157474,0.000157474,0.015706786,0.01699222,,561.77,TRUE
89,325.2903041,216.1005118,4.796713686,-0.306922858,0.0407,0.0394,0.042,1244.444444,9.08E-05,0,9.08E-05,9.08E-05,0.016151293,,,561.77,TRUE
90,163.9274578,164.579641,4.70427494,-0.286062141,0.0033,0.005,0.0016,1244.444444,0.000206174,0,0.000206174,0.000206174,,,,561.77,TRUE
91,321.1214228,113.5605767,4.709013587,-0.310370419,0.0083,0.0116,0.005,1244.444444,0.00027346,0,0.00027346,0.00027346,0.017066697,0.011839119,,561.77,TRUE
92,230.0967896,60.47944407,4.729509176,-0.307177963,0.0025,0.004,0.001,1244.444444,0.000205816,0,0.000205816,0.000205816,0.0794545,0.006559558,,561.77,TRUE
93,333.3938719,208.3040921,4.678343685,0,0.0096,0.014,0.0052,1244.444444,0.000553299,0,0.000553299,0.000553299,0.012843285,,,561.77,TRUE
