Name,Input,Ideal_output_distribution,Ideal_density_matrix,Noisy_output_distribution,Noisy_density_matrix
data/selected_mutant_qc/mutants_qpeexact_2/qpeexact_2_Mutant_Add_rx_P0_Q0_[4.71238898038469].qasm,PureState_0,"{'00': 506, '01': 518}","DensityMatrix([[ 5.00000000e-01+0.j , -7.85046229e-17+0.5j,
                -0.00000000e+00+0.j , -0.00000000e+00+0.j ],
               [-7.85046229e-17-0.5j,  5.00000000e-01+0.j ,
                 0.00000000e+00+0.j ,  0.00000000e+00+0.j ],
               [-0.00000000e+00+0.j ,  0.00000000e+00-0.j ,
                 0.00000000e+00+0.j ,  0.00000000e+00+0.j ],
               [-0.00000000e+00+0.j ,  0.00000000e+00-0.j ,
                 0.00000000e+00+0.j ,  0.00000000e+00+0.j ]],
              dims=(2, 2))","{'01': 506, '00': 518}","DensityMatrix([[4.92977501e-01+1.25482073e-22j,
                1.79739035e-03+4.83372726e-01j,
                0.00000000e+00+0.00000000e+00j,
                0.00000000e+00+0.00000000e+00j],
               [1.79739035e-03-4.83372726e-01j,
                4.92459225e-01+1.25437700e-22j,
                0.00000000e+00+0.00000000e+00j,
                0.00000000e+00+0.00000000e+00j],
               [0.00000000e+00+0.00000000e+00j,
                0.00000000e+00+0.00000000e+00j,
                7.28238789e-03-1.97825617e-22j,
                7.41323078e-06+1.52509431e-03j],
               [0.00000000e+00+0.00000000e+00j,
                0.00000000e+00+0.00000000e+00j,
                7.41323078e-06-1.52509431e-03j,
                7.28088551e-03-1.97755661e-22j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qpeexact_2/qpeexact_2_Mutant_Add_rx_P0_Q0_[4.71238898038469].qasm,PureState_1,"{'01': 526, '00': 498}","DensityMatrix([[ 5.00000000e-01+0.j ,  7.85046229e-17-0.5j,
                 0.00000000e+00+0.j ,  0.00000000e+00+0.j ],
               [ 7.85046229e-17+0.5j,  5.00000000e-01+0.j ,
                -0.00000000e+00+0.j , -0.00000000e+00+0.j ],
               [ 0.00000000e+00-0.j , -0.00000000e+00+0.j ,
                 0.00000000e+00+0.j ,  0.00000000e+00+0.j ],
               [ 0.00000000e+00-0.j , -0.00000000e+00+0.j ,
                 0.00000000e+00+0.j ,  0.00000000e+00+0.j ]],
              dims=(2, 2))","{'00': 515, '01': 509}","DensityMatrix([[4.92977501e-01-5.28881996e-23j,
                1.79739035e-03-4.83754559e-01j,
                0.00000000e+00+0.00000000e+00j,
                0.00000000e+00+0.00000000e+00j],
               [1.79739035e-03+4.83754559e-01j,
                4.92459225e-01-5.28694972e-23j,
                0.00000000e+00+0.00000000e+00j,
                0.00000000e+00+0.00000000e+00j],
               [0.00000000e+00+0.00000000e+00j,
                0.00000000e+00+0.00000000e+00j,
                7.28238789e-03-1.34525671e-20j,
                7.41323078e-06-1.52629903e-03j],
               [0.00000000e+00+0.00000000e+00j,
                0.00000000e+00+0.00000000e+00j,
                7.41323078e-06+1.52629903e-03j,
                7.28088551e-03-1.34478100e-20j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qpeexact_2/qpeexact_2_Mutant_Add_rx_P0_Q0_[4.71238898038469].qasm,Quratest_0,"{'00': 444, '01': 580}","DensityMatrix([[0.        +0.j        , 0.        +0.j        ,
                0.        +0.j        , 0.        +0.j        ],
               [0.        +0.j        , 0.        +0.j        ,
                0.        +0.j        , 0.        +0.j        ],
               [0.        -0.j        , 0.        -0.j        ,
                0.44218332+0.j        , 0.18451613-0.46109764j],
               [0.        +0.j        , 0.        +0.j        ,
                0.18451613+0.46109764j, 0.55781668+0.j        ]],
              dims=(2, 2))","{'01': 571, '00': 453}","DensityMatrix([[ 5.93713783e-03-6.46181851e-21j,
                 1.20126711e-04+8.57948304e-06j,
                -3.95578415e-05+1.58782850e-05j,
                -2.96506180e-17+4.79969958e-05j],
               [ 1.20126711e-04-8.57948304e-06j,
                 5.86820099e-03-6.45953347e-21j,
                -2.96450579e-17+3.80543428e-05j,
                 3.95578415e-05+1.58891346e-05j],
               [-3.95578415e-05-1.58782850e-05j,
                -2.96433634e-17-3.80543428e-05j,
                 4.38039416e-01+6.02671524e-18j,
                 1.79468315e-01-4.46820666e-01j],
               [-2.96489235e-17-4.79969958e-05j,
                 3.95578415e-05-1.58891346e-05j,
                 1.79468315e-01+4.46820666e-01j,
                 5.50155244e-01+6.02458406e-18j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qpeexact_2/qpeexact_2_Mutant_Add_rx_P0_Q0_[4.71238898038469].qasm,Quratest_1,"{'01': 533, '00': 491}","DensityMatrix([[ 0.41858107+0.j        , -0.11473197-0.40255023j,
                -0.00832503+0.18442103j, -0.17507619-0.05855551j],
               [-0.11473197+0.40255023j,  0.41858107+0.j        ,
                -0.17507619-0.05855551j,  0.10430087-0.1523212j ],
               [-0.00832503-0.18442103j, -0.17507619+0.05855551j,
                 0.08141893+0.j        , -0.02231671+0.07830074j],
               [-0.17507619+0.05855551j,  0.10430087+0.1523212j ,
                -0.02231671-0.07830074j,  0.08141893+0.j        ]],
              dims=(2, 2))","{'00': 522, '01': 502}","DensityMatrix([[ 0.41351117+1.63172447e-19j, -0.10964153-3.89222957e-01j,
                -0.00798592+1.78311950e-01j, -0.16948486-5.66401315e-02j],
               [-0.10964153+3.89222957e-01j,  0.41322003+1.63114746e-19j,
                -0.1694848 -5.66401112e-02j,  0.10080917-1.47291355e-01j],
               [-0.00798592-1.78311950e-01j, -0.1694848 +5.66401112e-02j,
                 0.08663516+5.88676610e-19j, -0.02171166+7.47827171e-02j],
               [-0.16948486+5.66401315e-02j,  0.10080917+1.47291355e-01j,
                -0.02171166-7.47827171e-02j,  0.08663363+5.88468441e-19j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qpeexact_2/qpeexact_2_Mutant_Add_rx_P0_Q0_[4.71238898038469].qasm,Quratest_2,"{'01': 528, '00': 496}","DensityMatrix([[ 0.14860021+0.00000000e+00j, -0.14482582-3.32792179e-02j,
                 0.22270861+5.11757411e-02j, -0.22851276-2.77555756e-17j],
               [-0.14482582+3.32792179e-02j,  0.14860021+0.00000000e+00j,
                -0.22851276-1.38777878e-17j,  0.22270861-5.11757411e-02j],
               [ 0.22270861-5.11757411e-02j, -0.22851276+1.38777878e-17j,
                 0.35139979+0.00000000e+00j, -0.34247435+7.86964553e-02j],
               [-0.22851276+2.77555756e-17j,  0.22270861+5.11757411e-02j,
                -0.34247435-7.86964553e-02j,  0.35139979+0.00000000e+00j]],
              dims=(2, 2))","{'01': 483, '00': 541}","DensityMatrix([[ 0.15060853-1.39099091e-17j, -0.13993729-3.22178065e-02j,
                 0.21562383+4.94962179e-02j, -0.22094036+4.29291262e-05j],
               [-0.13993729+3.22178065e-02j,  0.15050315+1.38427165e-17j,
                -0.22094029+4.29291108e-05j,  0.21552833-4.95799916e-02j],
               [ 0.21562383-4.94962179e-02j, -0.22094029-4.29291108e-05j,
                 0.34944485-1.11690942e-21j, -0.33268197+7.63144718e-02j],
               [-0.22094036-4.29291262e-05j,  0.21552833+4.95799916e-02j,
                -0.33268197-7.63144718e-02j,  0.34944347+1.84479042e-21j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qpeexact_2/qpeexact_2_Mutant_Add_rx_P0_Q0_[4.71238898038469].qasm,Quratest_3,"{'00': 495, '01': 529}","DensityMatrix([[ 0.10887759+0.00000000e+00j, -0.01990196-1.07043171e-01j,
                 0.03772098+2.02883197e-01j, -0.20636004-2.77555756e-17j],
               [-0.01990196+1.07043171e-01j,  0.10887759+0.00000000e+00j,
                -0.20636004-4.85722573e-17j,  0.03772098-2.02883197e-01j],
               [ 0.03772098-2.02883197e-01j, -0.20636004+4.85722573e-17j,
                 0.39112241+0.00000000e+00j, -0.07149408+3.84532625e-01j],
               [-0.20636004+2.77555756e-17j,  0.03772098+2.02883197e-01j,
                -0.07149408-3.84532625e-01j,  0.39112241+0.00000000e+00j]],
              dims=(2, 2))","{'01': 494, '00': 530}","DensityMatrix([[ 0.11192732-5.33617841e-19j, -0.01891611-1.03505222e-01j,
                 0.03650407+1.96143622e-01j, -0.19978375+4.29855031e-05j],
               [-0.01891611+1.03505222e-01j,  0.11184928-5.33429142e-19j,
                -0.19978368+4.29854877e-05j,  0.03640677-1.96159309e-01j],
               [ 0.03650407-1.96143622e-01j, -0.19978368-4.29854877e-05j,
                 0.38811238-1.09860712e-18j, -0.06932957+3.72597792e-01j],
               [-0.19978375-4.29855031e-05j,  0.03640677+1.96159309e-01j,
                -0.06932957-3.72597792e-01j,  0.38811101-1.09821863e-18j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qpeexact_2/qpeexact_2_Mutant_Add_rx_P0_Q0_[4.71238898038469].qasm,Quratest_4,"{'00': 75, '01': 949}","DensityMatrix([[ 0.04745247+0.j        ,  0.02626023+0.01241579j,
                -0.01351965-0.03909851j, -0.20571317+0.01809977j],
               [ 0.02626023-0.01241579j,  0.01778098+0.j        ,
                -0.01771178-0.01809977j, -0.10910604+0.06384061j],
               [-0.01351965+0.03909851j, -0.01771178+0.01809977j,
                 0.03606714+0.j        ,  0.04369626-0.17465438j],
               [-0.20571317-0.01809977j, -0.10910604-0.06384061j,
                 0.04369626+0.17465438j,  0.89869942+0.j        ]],
              dims=(2, 2))","{'00': 99, '01': 925}","DensityMatrix([[ 0.05267545-3.70317808e-18j,  0.02554288+1.20018401e-02j,
                -0.0131118 -3.76911622e-02j, -0.19905775+1.75962497e-02j],
               [ 0.02554288-1.20018401e-02j,  0.02323824-3.70125519e-18j,
                -0.01728409-1.74646174e-02j, -0.10556273+6.15395420e-02j],
               [-0.0131118 +3.76911622e-02j, -0.01728409+1.74646174e-02j,
                 0.04409904-4.55228604e-19j,  0.04249042-1.68956923e-01j],
               [-0.19905775-1.75962497e-02j, -0.10556273-6.15395420e-02j,
                 0.04249042+1.68956923e-01j,  0.87998726-4.55067559e-19j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qpeexact_2/qpeexact_2_Mutant_Add_rx_P0_Q0_[4.71238898038469].qasm,Quratest_5,"{'01': 272, '00': 752}","DensityMatrix([[ 0.54102921+0.j        ,  0.19158769-0.04202362j,
                 0.34326838-0.03534463j, -0.29465199-0.06278975j],
               [ 0.19158769+0.04202362j,  0.0711086 +0.j        ,
                 0.12430254+0.01414671j, -0.09946421-0.04512157j],
               [ 0.34326838+0.03534463j,  0.12430254-0.01414671j,
                 0.2201035 +0.j        , -0.18284675-0.05908757j],
               [-0.29465199+0.06278975j, -0.09946421+0.04512157j,
                -0.18284675+0.05908757j,  0.16775869+0.j        ]],
              dims=(2, 2))","{'00': 781, '01': 243}","DensityMatrix([[ 0.53085667-2.79098245e-17j,  0.18615128-4.07639583e-02j,
                 0.33185472-3.40315940e-02j, -0.28477895-6.07671346e-02j],
               [ 0.18615128+4.07639583e-02j,  0.07670629+2.76023373e-17j,
                 0.12036144+1.36511933e-02j, -0.09624705-4.36660638e-02j],
               [ 0.33185472+3.40315940e-02j,  0.12036144-1.36511933e-02j,
                 0.22137008+3.19859757e-19j, -0.17714221-5.71155750e-02j],
               [-0.28477895+6.07671346e-02j, -0.09624705+4.36660638e-02j,
                -0.17714221+5.71155750e-02j,  0.17106696+7.26013831e-18j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qpeexact_2/qpeexact_2_Mutant_Add_rx_P0_Q0_[4.71238898038469].qasm,Quratest_6,"{'01': 501, '00': 523}","DensityMatrix([[ 4.99033992e-01+0.00000000e+00j,
                -2.01698891e-01-4.56456441e-01j,
                -8.87419240e-03-2.00828188e-02j,
                 2.19561131e-02+8.67361738e-18j],
               [-2.01698891e-01+4.56456441e-01j,
                 4.99033992e-01+0.00000000e+00j,
                 2.19561131e-02+6.93889390e-18j,
                -8.87419240e-03+2.00828188e-02j],
               [-8.87419240e-03+2.00828188e-02j,
                 2.19561131e-02-6.93889390e-18j,
                 9.66008149e-04+0.00000000e+00j,
                -3.90439880e-04+8.83588391e-04j],
               [ 2.19561131e-02-8.67361738e-18j,
                -8.87419240e-03-2.00828188e-02j,
                -3.90439880e-04-8.83588391e-04j,
                 9.66008149e-04+0.00000000e+00j]],
              dims=(2, 2))","{'00': 522, '01': 502}","DensityMatrix([[ 4.91854821e-01-1.69474475e-18j,
                -1.93583096e-01-4.41351200e-01j,
                -8.54783032e-03-1.94343529e-02j,
                 2.12486206e-02+4.29697403e-05j],
               [-1.93583096e-01+4.41351200e-01j,
                 4.91508320e-01-1.69411464e-18j,
                 2.12486130e-02+4.29697250e-05j,
                -8.62332522e-03+1.93996288e-02j],
               [-8.54783032e-03+1.94343529e-02j,
                 2.12486130e-02-4.29697250e-05j,
                 8.31921370e-03-1.25083341e-19j,
                -4.86475134e-04-4.47925237e-04j],
               [ 2.12486206e-02-4.29697403e-05j,
                -8.62332522e-03-1.93996288e-02j,
                -4.86475134e-04+4.47925237e-04j,
                 8.31764436e-03-1.66880378e-20j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_qpeexact_2/qpeexact_2_Mutant_Add_rx_P0_Q0_[4.71238898038469].qasm,Quratest_7,"{'01': 429, '00': 595}","DensityMatrix([[ 0.26050002+0.j        ,  0.26253698+0.00796131j,
                -0.06090583+0.27852449j, -0.00956631+0.20560589j],
               [ 0.26253698-0.00796131j,  0.26483319+0.j        ,
                -0.05286991+0.28256378j, -0.00335746+0.20750598j],
               [-0.06090583-0.27852449j, -0.05286991-0.28256378j,
                 0.31203611+0.j        ,  0.22206878-0.03784317j],
               [-0.00956631-0.20560589j, -0.00335746-0.20750598j,
                 0.22206878+0.03784317j,  0.16263069+0.j        ]],
              dims=(2, 2))","{'00': 560, '01': 464}","DensityMatrix([[ 0.25946507+5.18209577e-17j,  0.25511193+7.46690177e-03j,
                -0.0588824 +2.69431176e-01j, -0.00932627+1.99331302e-01j],
               [ 0.25511193-7.46690177e-03j,  0.26347571-1.95728170e-18j,
                -0.05109012+2.73699438e-01j, -0.00330306+2.00715942e-01j],
               [-0.0588824 -2.69431176e-01j, -0.05109012-2.73699438e-01j,
                 0.31076496-1.39097456e-17j,  0.21593222-3.64128106e-02j],
               [-0.00932627-1.99331302e-01j, -0.00330306-2.00715942e-01j,
                 0.21593222+3.64128106e-02j,  0.16629426-2.77893131e-17j]],
              dims=(2, 2))"
