Name,Input,Ideal_output_distribution,Ideal_density_matrix,Noisy_output_distribution,Noisy_density_matrix
data/selected_mutant_qc/mutants_wstate_2/wstate_2_Mutant_Add_sx_P0_Q0_[].qasm,PureState_0,"{'00': 492, '11': 532}","DensityMatrix([[0.5+0.j , 0. -0.j , 0. -0.j , 0. -0.5j],
               [0. +0.j , 0. +0.j , 0. +0.j , 0. +0.j ],
               [0. +0.j , 0. +0.j , 0. +0.j , 0. +0.j ],
               [0. +0.5j, 0. +0.j , 0. +0.j , 0.5+0.j ]],
              dims=(2, 2))","{'01': 18, '10': 18, '00': 482, '11': 506}","DensityMatrix([[ 4.95777649e-01-2.21311979e-21j,
                 4.36224714e-05+6.83868133e-08j,
                 1.09252256e-16+4.43405719e-05j,
                 7.65147417e-04-4.90658443e-01j],
               [ 4.36224714e-05-6.83868133e-08j,
                 3.88139387e-03-3.85016926e-20j,
                 5.27161371e-06+7.75219290e-04j,
                 1.09364972e-16-4.44022145e-05j],
               [ 1.09252263e-16-4.43405719e-05j,
                 5.27161371e-06-7.75219290e-04j,
                 3.96364065e-03+3.85303624e-20j,
                -4.36224714e-05-6.83868135e-08j],
               [ 7.65147417e-04+4.90658443e-01j,
                 1.09364978e-16+4.44022145e-05j,
                -4.36224714e-05+6.83868135e-08j,
                 4.96377316e-01+2.66577591e-21j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_wstate_2/wstate_2_Mutant_Add_sx_P0_Q0_[].qasm,PureState_1,"{'11': 487, '00': 537}","DensityMatrix([[0.5+0.j , 0. +0.j , 0. +0.j , 0. +0.5j],
               [0. +0.j , 0. +0.j , 0. +0.j , 0. +0.j ],
               [0. +0.j , 0. +0.j , 0. +0.j , 0. +0.j ],
               [0. -0.5j, 0. -0.j , 0. -0.j , 0.5+0.j ]],
              dims=(2, 2))","{'01': 15, '10': 11, '00': 499, '11': 499}","DensityMatrix([[ 4.95777649e-01+9.80857787e-18j,
                -4.35948824e-05+6.83868135e-08j,
                 1.09251409e-16+4.43405719e-05j,
                 7.65147417e-04+4.90349210e-01j],
               [-4.35948824e-05-6.83868135e-08j,
                 3.88139387e-03+2.27214447e-19j,
                 5.27161371e-06-7.73644104e-04j,
                 1.09364125e-16-4.44022145e-05j],
               [ 1.09253110e-16-4.43405719e-05j,
                 5.27161371e-06+7.73644104e-04j,
                 3.96364065e-03-2.28998780e-19j,
                 4.35948824e-05-6.83868133e-08j],
               [ 7.65147417e-04-4.90349210e-01j,
                 1.09365825e-16+4.44022145e-05j,
                 4.35948824e-05+6.83868133e-08j,
                 4.96377316e-01-9.80680312e-18j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_wstate_2/wstate_2_Mutant_Add_sx_P0_Q0_[].qasm,Quratest_0,"{'01': 300, '10': 724}","DensityMatrix([[ 0.        +0.j        ,  0.        +0.j        ,
                 0.        -0.j        ,  0.        +0.j        ],
               [ 0.        +0.j        ,  0.31548387+0.j        ,
                -0.05781668-0.46109764j,  0.        +0.j        ],
               [ 0.        +0.j        , -0.05781668+0.46109764j,
                 0.68451613+0.j        ,  0.        +0.j        ],
               [ 0.        +0.j        ,  0.        +0.j        ,
                 0.        -0.j        ,  0.        +0.j        ]],
              dims=(2, 2))","{'01': 325, '11': 7, '00': 13, '10': 679}","DensityMatrix([[ 3.33435446e-03+2.21635160e-21j,
                -6.85683335e-05+1.09598593e-05j,
                 2.83934226e-05+9.91187130e-05j,
                 8.35165687e-05-4.85066903e-05j],
               [-6.85683335e-05-1.09598593e-05j,
                 3.15666423e-01+1.11483860e-20j,
                -5.60649045e-02-4.52733712e-01j,
                -2.83934226e-05-5.31877180e-06j],
               [ 2.83934226e-05-9.91187130e-05j,
                -5.60649045e-02+4.52733712e-01j,
                 6.77809253e-01+1.57653763e-20j,
                 1.17947675e-05-4.07538903e-05j],
               [ 8.35165687e-05+4.85066903e-05j,
                -2.83934226e-05+5.31877180e-06j,
                 1.17947675e-05+4.07538903e-05j,
                 3.18996911e-03-2.40063868e-21j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_wstate_2/wstate_2_Mutant_Add_sx_P0_Q0_[].qasm,Quratest_1,"{'01': 90, '10': 63, '00': 425, '11': 446}","DensityMatrix([[ 4.18581074e-01+0.j        , -1.97549418e-01+0.06630236j,
                -5.00457085e-02-0.14911236j, -1.14731968e-01+0.40255023j],
               [-1.97549418e-01-0.06630236j,  1.03735638e-01+0.j        ,
                 3.13743276e-17+0.07830074j,  1.17910879e-01-0.17181036j],
               [-5.00457085e-02+0.14911236j,  3.13743276e-17-0.07830074j,
                 5.91022129e-02+0.j        , -1.29684247e-01-0.08900036j],
               [-1.14731968e-01-0.40255023j,  1.17910879e-01+0.17181036j,
                -1.29684247e-01+0.08900036j,  4.18581074e-01+0.j        ]],
              dims=(2, 2))","{'01': 136, '10': 73, '00': 423, '11': 392}","DensityMatrix([[ 4.15627160e-01+4.74469468e-19j,
                -1.93738345e-01+6.49736084e-02j,
                -4.92757271e-02-1.46255101e-01j,
                -1.11884434e-01+3.94524218e-01j],
               [-1.93738345e-01-6.49736084e-02j,
                 1.06249011e-01+3.94161528e-18j,
                -7.33649618e-05+7.63365440e-02j,
                 1.15853765e-01-1.68532250e-01j],
               [-4.92757271e-02+1.46255101e-01j,
                -7.33649618e-05-7.63365440e-02j,
                 6.22483291e-02+4.74469468e-19j,
                -1.27210797e-01-8.72005298e-02j],
               [-1.11884434e-01-3.94524218e-01j,
                 1.15853765e-01+1.68532250e-01j,
                -1.27210797e-01+8.72005298e-02j,
                 4.15875500e-01+3.94161528e-18j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_wstate_2/wstate_2_Mutant_Add_sx_P0_Q0_[].qasm,Quratest_2,"{'00': 156, '10': 8, '11': 145, '01': 715}","DensityMatrix([[ 1.48600213e-01+0.j        , -3.19061696e-01+0.03618671j,
                -4.10415370e-03-0.03618671j, -1.44825816e-01+0.03327922j],
               [-3.19061696e-01-0.03618671j,  6.93874133e-01+0.j        ,
                 6.55548864e-19+0.07869646j,  3.19061696e-01-0.03618671j],
               [-4.10415370e-03+0.03618671j,  6.55548864e-19-0.07869646j,
                 8.92544019e-03+0.j        , -4.10415370e-03-0.03618671j],
               [-1.44825816e-01-0.03327922j,  3.19061696e-01+0.03618671j,
                -4.10415370e-03+0.03618671j,  1.48600213e-01+0.j        ]],
              dims=(2, 2))","{'10': 20, '11': 151, '00': 152, '01': 701}","DensityMatrix([[ 1.49655842e-01-1.02999849e-18j,
                -3.12585078e-01+3.54649900e-02j,
                -4.02345388e-03-3.54526222e-02j,
                -1.41991779e-01+3.25830022e-02j],
               [-3.12585078e-01-3.54649900e-02j,
                 6.86989269e-01+1.78652266e-18j,
                 4.60221057e-04+7.72247970e-02j,
                 3.13473484e-01-3.54687117e-02j],
               [-4.02345388e-03+3.54526222e-02j,
                 4.60221057e-04-7.72247970e-02j,
                 1.35325431e-02+7.64326504e-18j,
                -4.19555945e-03-3.54597508e-02j],
               [-1.41991779e-01-3.25830022e-02j,
                 3.13473484e-01+3.54687117e-02j,
                -4.19555945e-03+3.54597508e-02j,
                 1.49822345e-01+1.78687651e-18j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_wstate_2/wstate_2_Mutant_Add_sx_P0_Q0_[].qasm,Quratest_3,"{'01': 489, '11': 108, '00': 105, '10': 322}","DensityMatrix([[ 1.08877585e-01+0.j        , -1.72591342e-01+0.14346008j,
                -1.19245819e-01-0.14346008j, -1.99019609e-02+0.10704317j],
               [-1.72591342e-01-0.14346008j,  4.62616497e-01+0.j        ,
                -5.34482225e-17+0.38453262j,  1.72591342e-01-0.14346008j],
               [-1.19245819e-01+0.14346008j, -5.34482225e-17-0.38453262j,
                 3.19628333e-01+0.j        , -1.19245819e-01-0.14346008j],
               [-1.99019609e-02-0.10704317j,  1.72591342e-01+0.14346008j,
                -1.19245819e-01+0.14346008j,  1.08877585e-01+0.j        ]],
              dims=(2, 2))","{'01': 463, '00': 120, '11': 117, '10': 324}","DensityMatrix([[ 0.11054369-2.70973014e-18j, -0.16926351+1.40632409e-01j,
                -0.11716852-1.40633055e-01j, -0.01938833+1.04947181e-01j],
               [-0.16926351-1.40632409e-01j,  0.45987732+2.49225458e-18j,
                 0.00063603+3.77413991e-01j,  0.1694403 -1.40660809e-01j],
               [-0.11716852+1.40633055e-01j,  0.00063603-3.77413991e-01j,
                 0.3189772 -2.70973014e-18j, -0.11705348-1.40630402e-01j],
               [-0.01938833-1.04947181e-01j,  0.1694403 +1.40660809e-01j,
                -0.11705348+1.40630402e-01j,  0.11060179+2.49225458e-18j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_wstate_2/wstate_2_Mutant_Add_sx_P0_Q0_[].qasm,Quratest_4,"{'01': 446, '00': 15, '11': 53, '10': 510}","DensityMatrix([[ 0.01778098+0.j        ,  0.0646255 -0.0579406j ,
                -0.08967374+0.03234366j,  0.02626023-0.01241579j],
               [ 0.0646255 +0.0579406j ,  0.42368702+0.j        ,
                -0.43131614-0.17465438j,  0.13590134+0.04044529j],
               [-0.08967374-0.03234366j, -0.43131614+0.17465438j,
                 0.51107954+0.j        , -0.15502101+0.01484836j],
               [ 0.02626023+0.01241579j,  0.13590134-0.04044529j,
                -0.15502101-0.01484836j,  0.04745247+0.j        ]],
              dims=(2, 2))","{'00': 32, '11': 61, '10': 493, '01': 438}","DensityMatrix([[ 0.02082248-5.20487706e-18j,  0.06300805-5.66806259e-02j,
                -0.08788883+3.16838086e-02j,  0.02558304-1.22124100e-02j],
               [ 0.06300805+5.66806259e-02j,  0.42154305-8.67054569e-18j,
                -0.42262888-1.71308162e-01j,  0.13318015+3.96358714e-02j],
               [-0.08788883-3.16838086e-02j, -0.42262888+1.71308162e-01j,
                 0.50701447-5.20487706e-18j, -0.15172772+1.45497791e-02j],
               [ 0.02558304+1.22124100e-02j,  0.13318015-3.96358714e-02j,
                -0.15172772-1.45497791e-02j,  0.05061999-8.67054569e-18j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_wstate_2/wstate_2_Mutant_Add_sx_P0_Q0_[].qasm,Quratest_5,"{'01': 390, '10': 13, '00': 76, '11': 545}","DensityMatrix([[0.0711086 +0.j        , 0.15822699+0.04190901j,
                0.01756335-0.02190253j, 0.19158769+0.04202362j],
               [0.15822699-0.04190901j, 0.37677784+0.j        ,
                0.02617241-0.05908757j, 0.45107782-0.01940663j],
               [0.01756335+0.02190253j, 0.02617241+0.05908757j,
                0.01108435+0.j        , 0.03437698+0.06939149j],
               [0.19158769-0.04202362j, 0.45107782+0.01940663j,
                0.03437698-0.06939149j, 0.54102921+0.j        ]],
              dims=(2, 2))","{'10': 17, '00': 74, '11': 575, '01': 358}","DensityMatrix([[0.07417601+1.05541653e-17j, 0.15513691+4.09045302e-02j,
                0.01751209-2.13962690e-02j, 0.1879336 +4.11306720e-02j],
               [0.15513691-4.09045302e-02j, 0.37490997-7.35529592e-19j,
                0.0262584 -5.78508331e-02j, 0.44252742-1.91282165e-02j],
               [0.01751209+2.13962690e-02j, 0.0262584 +5.78508331e-02j,
                0.01546238-8.65622236e-17j, 0.03393345+6.77661690e-02j],
               [0.1879336 -4.11306720e-02j, 0.44252742+1.91282165e-02j,
                0.03393345-6.77661690e-02j, 0.53545164+1.10258647e-16j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_wstate_2/wstate_2_Mutant_Add_sx_P0_Q0_[].qasm,Quratest_6,"{'01': 1, '10': 1, '00': 508, '11': 514}","DensityMatrix([[ 4.99033992e-01+0.j        ,  2.18003181e-02-0.0142007j ,
                 9.25031485e-03+0.0142007j , -2.01698891e-01+0.45645644j],
               [ 2.18003181e-02+0.0142007j ,  1.35644803e-03+0.j        ,
                 4.16177577e-20+0.00088359j, -2.18003181e-02+0.0142007j ],
               [ 9.25031485e-03-0.0142007j ,  4.16177577e-20-0.00088359j,
                 5.75568269e-04+0.j        ,  9.25031485e-03+0.0142007j ],
               [-2.01698891e-01-0.45645644j, -2.18003181e-02-0.0142007j ,
                 9.25031485e-03-0.0142007j ,  4.99033992e-01+0.j        ]],
              dims=(2, 2))","{'01': 13, '10': 15, '00': 480, '11': 516}","DensityMatrix([[ 4.94912231e-01+5.41944544e-19j,
                 2.13641736e-02-1.38908303e-02j,
                 9.05826848e-03+1.39896444e-02j,
                -1.97034049e-01+4.47338095e-01j],
               [ 2.13641736e-02+1.38908303e-02j,
                 5.43151669e-03+1.08260807e-19j,
                -3.82466580e-04+2.50614911e-04j,
                -2.13780152e-02+1.39208730e-02j],
               [ 9.05826848e-03-1.39896444e-02j,
                -3.82466580e-04-2.50614911e-04j,
                 4.51246870e-03+5.41944544e-19j,
                 9.15310645e-03+1.39178613e-02j],
               [-1.97034049e-01-4.47338095e-01j,
                -2.13780152e-02-1.39208730e-02j,
                 9.15310645e-03-1.39178613e-02j,
                 4.95143783e-01+1.08260807e-19j]],
              dims=(2, 2))"
data/selected_mutant_qc/mutants_wstate_2/wstate_2_Mutant_Add_sx_P0_Q0_[].qasm,Quratest_7,"{'01': 12, '11': 272, '00': 259, '10': 481}","DensityMatrix([[ 0.26483319+0.j        , -0.03501059+0.05307388j,
                -0.03975875+0.34653165j,  0.26253698-0.00796131j],
               [-0.03501059-0.05307388j,  0.01526462+0.j        ,
                 0.07470271-0.03784317j, -0.03630252-0.05156124j],
               [-0.03975875-0.34653165j,  0.07470271+0.03784317j,
                 0.45940217+0.j        , -0.04983133-0.34233187j],
               [ 0.26253698+0.00796131j, -0.03630252+0.05156124j,
                -0.04983133+0.34233187j,  0.26050002+0.j        ]],
              dims=(2, 2))","{'01': 20, '11': 260, '10': 488, '00': 256}","DensityMatrix([[ 0.2639557 -5.51506062e-17j, -0.03433611+5.26780609e-02j,
                -0.03892035+3.40122213e-01j,  0.2577484 -7.76038385e-03j],
               [-0.03433611-5.26780609e-02j,  0.01989451+1.42252938e-17j,
                 0.07397227-3.69741503e-02j, -0.03572402-5.09304348e-02j],
               [-0.03892035-3.40122213e-01j,  0.07397227+3.69741503e-02j,
                 0.45616937-4.12643235e-17j, -0.04897375-3.35459042e-01j],
               [ 0.2577484 +7.76038385e-03j, -0.03572402+5.09304348e-02j,
                -0.04897375+3.35459042e-01j,  0.25998043+5.58501623e-17j]],
              dims=(2, 2))"
