Metric,Threshold,kyiv,brisbane,sherbrooke
H,A,1.0,1.0,0.9611
H,N,0.8642,0.8527,0.8403
H,M,0.7693,0.7252,0.6985
H,I,0.6421,0.6336,0.6404
J,A,1.0,1.0,0.9663
J,N,0.8661,0.8621,0.8494
J,M,0.7521,0.6954,0.6785
J,I,0.6343,0.6259,0.6319
T,A,0.9821,0.9999,0.7964
T,N,0.7262,0.711,0.7122
T,M,0.5219,0.5287,0.528
T,I,0.4597,0.4597,0.4597
F,A,1.0,1.0,0.865
F,N,0.7407,0.7212,0.7308
F,M,0.5237,0.5307,0.5338
F,I,0.4917,0.4917,0.4917
E,A,0.5038,0.4699,0.4758
E,N,0.5585,0.4923,0.5048
E,M,0.5572,0.5391,0.5286
E,I,0.5182,0.5129,0.5077
