Metric,Threshold,kyiv,brisbane,sherbrooke
Metric H,I,0.9771536754030211,0.9763894766539709,0.9770691982601177
Metric H,N,0.9370622181724726,0.9205877903018382,0.9139921872007966
Metric H,A,0.8198354060947072,0.8228908898084801,0.8495323157364691
Metric H,M,0.9648557687969755,0.9643470809649213,0.9654927360230289
Metric J,I,0.9763613785085826,0.9757043879907621,0.9762416154645165
Metric J,N,0.9393671310437309,0.9241073108326748,0.9179755173529803
Metric J,A,0.8289702220269111,0.8315524729772301,0.8560104212949873
Metric J,M,0.964392346178268,0.9633179558382228,0.9648745390934119
Metric T,I,0.9453602403238838,0.9453602403238838,0.9453602403238838
Metric T,N,0.9728673655871259,0.9699210561943576,0.9672031154694318
Metric T,A,0.94525017242307,0.946269071010082,0.9582242317579781
Metric T,M,0.9727548116924011,0.9712287730647651,0.9720851290873047
Metric F,I,0.9789234858143002,0.9789234858143002,0.9789234858143002
Metric F,N,0.9803336174572821,0.9792423661852728,0.971849972949722
Metric F,A,0.9393052622707502,0.9339777588486934,0.9592549370821686
Metric F,M,0.9814004518705794,0.9795407859708246,0.9807751628137341
Metric E,I,0.739560406245263,0.7381836403262517,0.7336661601910137
Metric E,N,0.7156650552754701,0.6924923466979541,0.6815231266465683
Metric E,A,0.6789135247197723,0.6751555994931703,0.6684004478162007
Metric E,M,0.728094309941777,0.7263090947636209,0.7211977837265766
