Name,Input,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Ideal_expectation,Noisy_expectation,Killed_IH,Killed_NH,Killed_IJ,Killed_NJ,Killed_IT,Killed_NT,Killed_IF,Killed_NF,Killed_IE,Killed_NE
wstate_2_Mutant_Add_ch_P2_Q1_[].qasm,PureState_0,0.0,0.24614079019374904,0.0,0.20629369493298547,2.220446049250313e-16,0.015580107833171469,0.9999999999999991,0.9844198921668282,0.0,0.21240234375,False,True,False,True,False,False,False,False,False,True
wstate_2_Mutant_Add_ch_P2_Q1_[].qasm,Quratest_0,0.0050210222830642404,0.02352511640745285,0.005020994576337598,0.02352067502258648,2.8449465006019636e-16,0.004648161739597027,0.10682435542959755,0.10950333433600684,0.003275593953237649,0.03041581229676235,False,False,False,False,False,False,True,True,False,False
wstate_2_Mutant_Add_ch_P2_Q1_[].qasm,PureState_1,0.0,0.24925904794917997,0.0,0.20894226972359908,2.220446049250313e-16,0.01661461861354714,0.9999999999999996,0.983385381386453,0.0,0.19677734375,False,True,False,True,False,False,False,False,False,True
wstate_2_Mutant_Add_ch_P2_Q1_[].qasm,Quratest_1,0.00721642624111739,0.05176915690815952,0.007216330869825177,0.05172840967052177,1.5959455978986625e-16,0.010555163311187506,0.6463213206753752,0.6355025490449812,0.009174700898766042,0.10487782589876604,False,False,False,False,False,False,True,True,False,True
wstate_2_Mutant_Add_ch_P2_Q1_[].qasm,PureState_2,0.004808465084180086,0.23092414211157522,0.004808455817518062,0.1934300914836263,1.6653345369377348e-16,0.0019251003222786245,6.9329787594906715e-18,0.013418161246459575,0.0,0.201171875,False,True,False,True,False,False,True,True,False,True
wstate_2_Mutant_Add_ch_P2_Q1_[].qasm,Quratest_2,0.006861205620624422,0.052484982928716895,0.006861167903541899,0.05242062133448191,7.28583859910259e-17,0.013712641609283652,0.10214130146731348,0.1068809857340847,0.020239400857044593,0.026147317892955407,False,False,False,False,False,False,True,True,True,False
wstate_2_Mutant_Add_ch_P2_Q1_[].qasm,PureState_3,0.004030590502033212,0.22630070017390125,0.004030585044654816,0.18947228934370627,1.6653345369377348e-16,0.002744370212370163,5.354004068630715e-17,0.01157903526791057,0.0,0.22119140625,False,True,False,True,False,False,True,True,False,True
wstate_2_Mutant_Add_ch_P2_Q1_[].qasm,Quratest_3,0.004383668738870934,0.15802193405467,0.004383324770156793,0.15305485999598611,3.1051550219984847e-16,0.008675129663392584,0.1892042857901092,0.19548988378631843,0.0030592246608707185,0.21227280658912928,False,False,False,True,False,False,True,True,False,True
wstate_2_Mutant_Add_cz_P2_Q1_[].qasm,PureState_0,0.0,0.24353390891308468,0.0,0.20408046844212804,0.0,0.012962713735345303,1.0,0.9870372862646555,0.0,0.203125,False,True,False,True,False,False,False,False,False,True
wstate_2_Mutant_Add_cz_P2_Q1_[].qasm,Quratest_0,0.14635558761421147,0.14109348137571637,0.14587787487352022,0.14069680687696123,0.1589500792688448,0.15904125939441502,0.25831698413223714,0.2593672679187619,0.0016072185467623512,0.014302531046762351,True,False,True,False,True,True,True,True,False,False
wstate_2_Mutant_Add_cz_P2_Q1_[].qasm,PureState_1,0.0,0.24440556492575952,0.0,0.2048203987151475,0.0,0.015754184884273333,1.0,0.9842458151157263,0.0,0.21240234375,False,True,False,True,False,False,False,False,False,True
wstate_2_Mutant_Add_cz_P2_Q1_[].qasm,Quratest_1,0.4081527457286401,0.39370815261779274,0.39901408337735095,0.3856122877156982,0.4659861964803645,0.4652230556784027,0.1398470381590098,0.14098664606729858,0.01991688839876604,0.10487782589876604,True,True,True,True,True,True,True,True,True,True
wstate_2_Mutant_Add_cz_P2_Q1_[].qasm,PureState_2,0.541196100146197,0.507654251799414,0.46450140402245893,0.4604222760702736,0.5000000000000001,0.49047575285801576,0.4999999999999999,0.4962364010211837,0.0,0.1923828125,True,True,True,True,True,True,True,True,False,True
wstate_2_Mutant_Add_cz_P2_Q1_[].qasm,Quratest_2,0.2450904499718508,0.23870940243437275,0.241201038445697,0.23479355589159645,0.20022655183541999,0.21039543661401294,0.23679550491691745,0.23665197848104502,0.021215963357044593,0.05739731789295541,True,True,True,True,True,True,True,True,True,True
wstate_2_Mutant_Add_cz_P2_Q1_[].qasm,PureState_3,0.541196100146197,0.5049566350422288,0.46450140402245893,0.458723860982314,0.5000000000000001,0.4895148567337441,0.5000000000000003,0.4956183170514684,0.0,0.1953125,True,True,True,True,True,True,True,True,False,True
wstate_2_Mutant_Add_cz_P2_Q1_[].qasm,Quratest_3,0.4884514697308372,0.48995077883364535,0.47396175260355256,0.4748681379558824,0.6198156817996757,0.6116447629406051,0.07231403742816632,0.07924150853838906,0.0006178184108707185,0.18444077533912928,True,True,True,True,True,True,True,True,False,True
wstate_2_Mutant_Add_rxx_P2_Q1_[5.497787143782138].qasm,PureState_0,0.2788806753140779,0.36119231950148817,0.23416988055050084,0.30500064060060844,0.14644660940672627,0.16243643044720285,0.8535533905932731,0.8375635695527973,0.2939453125,0.4189453125,True,True,True,True,True,True,True,True,True,True
wstate_2_Mutant_Add_rxx_P2_Q1_[5.497787143782138].qasm,Quratest_0,0.17409507958821643,0.1731788886655897,0.1729526867839209,0.17208133122073807,0.2059051658115922,0.20259144560050016,0.9302307046105098,0.9074221212179334,0.17006424979676235,0.15346268729676235,True,True,True,True,True,True,True,True,True,True
wstate_2_Mutant_Add_rxx_P2_Q1_[5.497787143782138].qasm,PureState_1,0.27299660782876356,0.35815857816349955,0.22914857985249715,0.3023690073917916,0.14644660940672627,0.16477135584234562,0.853553390593274,0.8352286441576541,0.2861328125,0.42578125,True,True,True,True,True,True,True,True,True,True
wstate_2_Mutant_Add_rxx_P2_Q1_[5.497787143782138].qasm,Quratest_1,0.05594789753667592,0.042463510498282245,0.05587649448267085,0.042425760293735126,0.05194422307880889,0.045591982989836174,0.8760367069515672,0.8555943073399954,0.08066904910123396,0.03212391964876604,False,False,False,False,True,True,True,True,True,True
