Name,Input,Ideal_chisquare,Noisy_chisquare,Ideal_hellinger,Noisy_hellinger,Ideal_jensenshannon,Noisy_jensenshannon,Ideal_trace,Noisy_trace,Ideal_fidelity,Noisy_fidelity,Ideal_expectation,Noisy_expectation,Killed_IC,Killed_NC,Killed_IH,Killed_NH,Killed_IJ,Killed_NJ,Killed_IT,Killed_NT,Killed_IF,Killed_NF,Killed_IE,Killed_NE
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_0,0.0,0.0,0.2274489217203536,0.7176816580853433,0.2154727297222248,0.6516813116163307,0.1601822154838442,0.7916456292990365,0.728553390593284,0.0154348399533953,0.02294921875,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_0,0.0,0.0,0.1634070761928454,0.7466219384197019,0.1580234724371548,0.6660253979301083,0.1226046844763688,0.7925124078446444,0.8475992623401639,0.0156811837673733,0.0078125,0.2099609375,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_1,0.0,0.0,0.224399620883769,0.7197026970177359,0.2104888409634322,0.6503482800689,0.160182215483844,0.7916456292990365,0.7285533905932843,0.0156250079601313,0.02294921875,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_1,0.0,0.0,0.138071995021519,0.7651429857289782,0.1369056804241246,0.6858360336035477,0.1075703127584346,0.8073114847950191,0.5388499745369042,0.0111238615191263,0.01953125,0.22705078125,True,True,True,False,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_2,0.0,0.0,0.2303736930677416,0.7164684753877951,0.2171886850053088,0.6495438217113991,0.1601822154838441,0.7916456292990365,0.7285533905932843,0.0156250080672948,0.02294921875,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_2,0.0,0.0,0.3083995719362806,0.8672149270314722,0.2951953794151151,0.7625434468286058,0.2341002985844257,0.9302447615509404,0.5759742351613201,0.0045285898676293,0.02880859375,0.27880859375,True,True,True,True,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_3,0.0,0.0,0.2228815128389053,0.7173252625842055,0.2117558663605117,0.6499828912012481,0.1601822154838441,0.7916456292990365,0.0214466094067284,0.0157367366767987,0.0234375,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_3,0.0,0.0,0.1680729272321108,0.8857591576724682,0.1639423341256838,0.7635233331302085,0.0957582548544034,0.9189221955576232,0.1590687158057812,0.0019990454845455,0.02783203125,0.39013671875,True,True,True,True,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_4,0.0,0.0,0.2237763722648875,0.7129292004441935,0.2121072522822552,0.647393984656745,0.1601822154838441,0.7916456292990365,0.7285533905932843,0.0156250079962557,0.02294921875,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_4,0.0,0.0,0.2028224764820969,0.8823199830479913,0.1905504696918158,0.765295342128712,0.1039572666338383,0.9309193932515942,0.8174763686303342,0.002539773790805,0.02783203125,0.2939453125,True,True,True,True,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_5,0.0,0.0,0.2242236552331684,0.7145828963986378,0.2127757910787313,0.6492295802720779,0.1601822154838441,0.7916456292990365,0.7285533905932858,0.0154348399741425,0.02294921875,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_5,0.0,0.0,0.3321546912629825,0.8888395022216175,0.3171096325329441,0.7705485099660823,0.31942939254436,0.9340942022141474,0.0020510130477977,0.001670561286977,0.06640625,0.3349609375,True,True,True,True,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_6,0.0,0.0,0.2220606602272224,0.7164511652823314,0.2118906543188977,0.6473314578415512,0.1601822154838442,0.7916456292990366,0.0214466094067283,0.015816305478201,0.0234375,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_6,0.0,0.0,0.2040291382762067,0.7853290750450406,0.195917611252563,0.6999556057305171,0.2032329007710656,0.8370704950141722,0.7884736850377717,0.0092146744768356,0.013671875,0.2373046875,True,True,True,False,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_7,0.0,0.0,0.2304819188464107,0.7216553088594015,0.2172106117437729,0.6529511362228617,0.1601822154838442,0.7916456292990365,0.0214466094067283,0.0158163058612219,0.0234375,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_7,0.0,0.0,0.1520411556481478,0.845938196302731,0.1467405550010428,0.7417163873549902,0.1082667767508514,0.8949745323198364,0.0336154348084675,0.0035728754283502,0.00732421875,0.2607421875,True,True,True,True,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_8,0.0,0.0,0.2323327362893364,0.7260559455460971,0.2198551416984635,0.656004046702665,0.1601822154838441,0.7916456292990365,0.0214466094067284,0.0155132792647034,0.0234375,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_8,0.0,0.0,0.3004263687205743,0.8200441762193601,0.2845278933618222,0.7233622816418029,0.2054136299775282,0.8676412155326769,0.1236163997180382,0.0070025818845563,0.02734375,0.4375,True,True,True,True,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_9,0.0,0.0,0.226895944611592,0.7229532657283223,0.2149512238517532,0.6520034872127575,0.1601822154838441,0.7916456292990365,0.7285533905932847,0.0156250083737006,0.02294921875,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_9,0.0,0.0,0.3124810240490788,0.6796650101683855,0.2957997048552792,0.6166374453500731,0.2344277262891047,0.7502842367193396,0.1309578143260939,0.0386624867251866,0.0576171875,0.248046875,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_10,0.0,0.0,0.2226370434354136,0.7209685347667566,0.212004956414897,0.6521755907122764,0.1601822154838441,0.7916456292990364,0.7285533905932847,0.0156250077826153,0.02294921875,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_10,0.0,0.0,0.1611479374799402,0.8161397862834783,0.1547387840084721,0.7254648322893333,0.1030775117047742,0.8843508528805589,0.7045570542072498,0.0096915962592395,0.0546875,0.18310546875,True,True,True,True,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_11,0.0,0.0,0.2377931850867459,0.7145916024799773,0.2203568427116964,0.6453213854115845,0.1601822154838441,0.7916456292990366,0.0214466094067283,0.0157367367801479,0.0234375,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_11,0.0,0.0,0.0731613523723275,0.8330740662892929,0.0720416244446187,0.7275471370033305,0.0351400530014408,0.8580086947799707,0.8061784748061879,0.0072969961671417,0.0048828125,0.26123046875,True,True,False,True,False,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_12,0.0,0.0,0.2317770262181596,0.713217401271234,0.2178777488963168,0.6458162071103103,0.1601822154838441,0.7916456292990364,0.0214466094067284,0.0156571675464642,0.0234375,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_12,0.0,0.0,0.2999758373627068,0.8320452017590599,0.2898931205954659,0.7337963029148917,0.2851181440722272,0.8770806069881649,0.0016366078926928,0.0046412544175158,0.00830078125,0.23095703125,True,True,True,True,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_13,0.0,0.0,0.2249574524533393,0.7216163346244318,0.2123496589802117,0.6536467441198253,0.1601822154838441,0.7916456292990364,0.7285533905932849,0.0156250078507783,0.02294921875,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_13,0.0,0.0,0.1948935682181476,0.7322547970247013,0.1846256567204026,0.6669119971087177,0.1002876458455957,0.8029638595505504,0.4131250347980244,0.0142309838995454,0.06396484375,0.13818359375,True,True,True,False,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_14,0.0,0.0,0.2156343529947736,0.7131957237363035,0.2056015173861213,0.6474718335718711,0.1601822154838442,0.7916456292990365,0.0214466094067283,0.0158163055440201,0.0234375,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_14,0.0,0.0,0.1050933286755835,0.7753414658227895,0.1002734541520266,0.7021349053493451,0.0289221846154888,0.8579739871412493,0.9357061209673256,0.0212446021667518,0.00341796875,0.353515625,True,True,False,False,False,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_15,0.0,0.0,0.2234025785036116,0.7190719015621565,0.2119183769564695,0.652699382700219,0.1601822154838442,0.7916456292990365,0.7285533905932843,0.0155917186189053,0.02294921875,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_15,0.0,0.0,0.1649001411699608,0.8487066712688586,0.1585602052082961,0.7434194681229259,0.0767525864616216,0.8933539574241527,0.8451975102346714,0.0042815002581649,0.0009765625,0.3369140625,True,True,True,True,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_16,0.0,0.0,0.2221373065298214,0.7210204015077398,0.2118972231305142,0.6526190303634756,0.1601822154838441,0.7916456292990365,0.0214466094067284,0.0155132796382081,0.0234375,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_16,0.0,0.0,0.3649456091621099,0.8415407117635711,0.35483978834442,0.7401661454702747,0.3791150986157595,0.8845623714963162,0.0001307301660412,0.0062324456274239,0.03759765625,0.1865234375,True,True,True,True,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_17,0.0,0.0,0.2223369974421521,0.7169533695421221,0.2104543366528384,0.6492766633126735,0.1601822154838441,0.7916456292990364,0.7285533905932853,0.0156250079983807,0.02294921875,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_17,0.0,0.0,0.080586934116052,0.6700690145837187,0.0767633327788288,0.6136807867339255,0.0163529574333539,0.7626732073128916,0.9584117733929084,0.050213498456599,0.0029296875,0.24658203125,True,True,False,False,False,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_18,0.0,0.0,0.2243404224306426,0.7175838587717986,0.2123028228484866,0.6482546454673326,0.1601822154838441,0.7916456292990365,0.728553390593285,0.0155917184419824,0.02294921875,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_18,0.0,0.0,0.2468234791382452,0.7124110051597612,0.2309005618675499,0.6465040740217225,0.1609653776414745,0.7675318937128627,0.0574123505206437,0.0162940880871225,0.01025390625,0.32666015625,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_19,0.0,0.0,0.2247113528103027,0.7226503758146108,0.2125941042936013,0.6534965707679538,0.1601822154838442,0.7916456292990365,0.7285533905932843,0.0155917186929134,0.02294921875,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_19,0.0,0.0,0.2008426676217282,0.8165058146926771,0.1952164420774449,0.7230558503534507,0.1594251369190468,0.8659072633765313,0.8209685978049516,0.0044445768708408,0.03076171875,0.29150390625,True,True,True,True,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_20,0.0,0.0,0.2290682867497699,0.7135140652066692,0.2149293222135296,0.6493061036573915,0.1601822154838442,0.7916456292990365,0.0214466094067283,0.0155132792330126,0.0234375,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_20,0.0,0.0,0.2650706829577922,0.8375832704407365,0.2605393999090032,0.7405896817945047,0.2318634114821663,0.9026940367709314,0.1412573356282269,0.0041283990252303,0.01513671875,0.27197265625,True,True,True,True,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_21,0.0,0.0,0.2298957096743694,0.7116792665523998,0.2151983601046818,0.6462347637197564,0.1601822154838441,0.7916456292990365,0.7285533905932849,0.0156250079535151,0.02294921875,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_21,0.0,0.0,0.1580138233495411,0.7308215911482313,0.1523585684166484,0.6605031087758538,0.0697050429214122,0.8048407305835756,0.7529549052511506,0.0249775960853013,0.01318359375,0.24658203125,True,True,True,False,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_22,0.0,0.0,0.2327636944380494,0.7231586255006106,0.2194393998154116,0.653008585854219,0.1601822154838441,0.7916456292990364,0.0214466094067284,0.0158163056254919,0.0234375,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_22,0.0,0.0,0.1535812434472932,0.7340291060914665,0.1462364618310527,0.6553299527054944,0.0725509096642227,0.7730336286686841,0.9143906742263224,0.0233397765998654,0.0302734375,0.357421875,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_23,0.0,0.0,0.2200248512466186,0.721189837767084,0.2105478397882822,0.6508567582365176,0.1601822154838442,0.7916456292990366,0.7285533905932853,0.0154348400433805,0.02294921875,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_23,0.0,0.0,0.1855548963516012,0.7713675214040786,0.175406127459747,0.6845241916142603,0.0715931868571203,0.7909233371912716,0.8862599382200618,0.0127414366245261,0.00634765625,0.2685546875,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_24,0.0,0.0,0.2269788152225321,0.7233009167338101,0.2155662198194639,0.6531632488513273,0.1601822154838441,0.7916456292990364,0.0214466094067284,0.0157367365473685,0.0234375,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_24,0.0,0.0,0.3233422360884768,0.81613510297735,0.3139301173440855,0.7254823620463858,0.2968502971775489,0.8736905303560627,0.0840516412081149,0.0054807387800172,0.00048828125,0.2490234375,True,True,True,True,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_25,0.0,0.0,0.2228629941172453,0.7109750282506585,0.2120787448331532,0.6455886001787775,0.1601822154838441,0.7916456292990365,0.7285533905932847,0.0156250078713392,0.02294921875,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_25,0.0,0.0,0.4907720963293271,0.7476173282684023,0.4522569258314793,0.6813517551329639,0.376988045282052,0.8377773267198335,0.164015192106576,0.0179201657389091,0.0537109375,0.23876953125,True,True,True,False,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_26,0.0,0.0,0.2263594930067607,0.7226621932177866,0.2124816436689263,0.6515541143627835,0.1601822154838441,0.7916456292990366,0.0214466094067284,0.0156571675075906,0.0234375,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,Quratest_26,0.0,0.0,0.1875256908400115,0.8204816916955173,0.1802641816430238,0.7133758465128601,0.094020264756575,0.8434989035411767,0.232998362331799,0.0063264167146989,0.0009765625,0.30078125,True,True,True,True,True,False,True,True,True,True,True,False
qft_6_Mutant_Add_ch_P10_Q5_[].qasm,PureState_27,0.0,0.0,0.2319988941248064,0.7175251640167638,0.216484333884578,0.6482273261737261,0.1601822154838441,0.7916456292990365,0.7285533905932855,0.0155917184570816,0.02294921875,0.283203125,True,True,True,False,True,False,True,False,True,True,True,False
